rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10006,0",1,0.001,1,0.0,1.7298107487068062,1,0,0.0
1,"10006,1",6,0.006,3,10.375365777527664,10.93004884546662,11,2,2.0
2,"10006,2",788,0.788,147,34.00466760674446,71.20823068901505,1575,4,4.0
3,"10006,3",1,0.001,1,0.0,6.395799361023522,1,0,0.0
4,"10006,4",3,0.003,3,4.68212929477893,5.964834533027927,5,1,1.0
5,"10006,5",804,0.804,167,42.2415774418794,93.89216411298231,1607,1,1.0
6,"10006,6",1,0.001,1,0.0,3.2736753757162327,1,0,0.0
7,"10006,7",1,0.001,1,0.0,0.9625191274557084,1,0,0.0
8,"10006,8",2,0.002,2,1.566713431823205,2.6304340819555856,3,1,1.0
9,"10006,9",749,0.749,169,25.82946929111585,68.10188065675857,1497,3,3.0
10,"10006,10",1,0.001,1,0.0,0.4260934617574926,1,0,0.0
11,"10006,11",785,0.785,186,31.225283433562726,86.75589555819849,1569,1,1.0
12,"10006,12",709,0.709,118,34.90970620489843,95.91097292664759,1417,1,1.0
13,"10006,13",1,0.001,1,0.0,2.2841887237361744,1,0,0.0
14,"10006,14",1,0.001,1,0.0,0.1308109958310855,1,0,0.0
15,"10006,15",2,0.002,2,3.295623154385222,6.207808255201959,3,1,1.0
16,"10006,16",1,0.001,1,0.0,0.8583230080551547,1,0,0.0
17,"10006,17",4,0.004,3,2.103983517652451,3.133562270977489,7,1,1.0
18,"10006,18",793,0.793,165,24.20039402054903,89.45569914961362,1585,5,5.0
19,"10006,19",1,0.001,1,0.0,6.354285069523375,1,0,0.0
20,"10006,20",792,0.792,191,33.817300523316796,81.92525152393787,1583,1,1.0
21,"10006,21",1,0.001,1,0.0,3.7076480425179095,1,0,0.0
22,"10006,22",795,0.795,161,38.04031461677158,81.79328327810909,1589,3,3.0
23,"10006,23",827,0.827,183,25.669895273049104,77.89871844685943,1653,3,3.0
24,"10006,24",805,0.805,158,29.648859053248763,76.12166696750687,1609,1,1.0
25,"10006,25",801,0.801,165,30.034262956569766,94.0975232896893,1601,1,1.0
26,"10006,26",1,0.001,1,0.0,1.6728508356806553,1,0,0.0
27,"10006,27",846,0.846,205,27.983000715574452,76.28783011252222,1691,5,5.0
28,"10006,28",791,0.791,188,32.082134397051504,88.57740309428854,1581,2,2.0
29,"10006,29",825,0.825,171,22.640064608911292,74.90134379869149,1649,5,5.0
30,"10006,30",8,0.008,4,5.297428254629553,13.132561625311448,15,4,4.0
31,"10006,31",814,0.814,159,22.52452787319236,93.06084808118966,1627,5,5.0
32,"10006,32",11,0.011,6,3.381924322970069,9.671778175103091,21,2,2.0
33,"10006,33",801,0.801,147,35.61235156436419,87.16944700558957,1601,6,6.0
34,"10006,34",837,0.837,166,57.52349068169571,96.90149485581927,1673,2,2.0
35,"10006,35",814,0.814,150,39.74259517111719,102.29562990344664,1627,3,3.0
36,"10006,36",818,0.818,179,27.49796317511732,79.22187915674421,1635,9,9.0
37,"10006,37",806,0.806,146,28.049284764976967,79.97247593875996,1611,7,7.0
38,"10006,38",822,0.822,185,30.756482200150575,86.26931481451017,1643,2,2.0
39,"10006,39",759,0.759,126,30.398009262048433,76.14236578949976,1517,8,8.0
40,"10006,40",849,0.849,197,40.79935960530496,82.48748750739924,1697,1,1.0
41,"10006,41",786,0.786,123,57.2113029807094,124.65356637589281,1571,1,1.0
42,"10006,42",1,0.001,1,0.0,2.0600470367922554,1,0,0.0
43,"10006,43",847,0.847,208,25.207956334600286,98.39567883274638,1693,3,3.0
44,"10006,44",1,0.001,1,0.0,1.8186222865674169,1,0,0.0
45,"10006,45",1,0.001,1,0.0,0.8906462755755478,1,0,0.0
46,"10006,46",2,0.002,2,0.15692067472934274,0.6555621968129968,3,1,1.0
47,"10006,47",807,0.807,130,33.663239944083706,90.61060580094852,1613,3,3.0
48,"10006,48",3,0.003,3,1.733659074989847,3.0754134795717505,5,1,1.0
49,"10006,49",826,0.826,166,30.291908830664443,71.74213550700205,1651,5,5.0
50,"10006,50",809,0.809,160,40.98713437880658,82.67530362843017,1617,3,3.0
51,"10006,51",752,0.752,141,45.30656842838159,90.65929276693323,1503,2,2.0
52,"10006,52",814,0.814,194,32.43476142203005,76.37373305617588,1627,1,1.0
53,"10006,53",1,0.001,1,0.0,0.08807699140138067,1,0,0.0
54,"10006,54",1,0.001,1,0.0,0.22926129291448819,1,0,0.0
55,"10006,55",762,0.762,122,42.32549562308593,83.02265389586621,1523,1,1.0
56,"10006,56",810,0.81,153,26.100087449006256,107.12560374633117,1619,2,2.0
57,"10006,57",813,0.813,144,27.419838120964272,78.59670570467635,1625,12,12.0
58,"10006,58",837,0.837,167,27.998966405120733,78.66683325680326,1673,1,1.0
59,"10006,59",827,0.827,175,30.77361566320789,82.57828799621372,1653,3,3.0
60,"10006,60",815,0.815,179,37.851065922081986,75.80228351742996,1629,12,12.0
61,"10006,61",736,0.736,130,34.57113659772289,86.91529906264888,1471,3,3.0
62,"10006,62",1,0.001,1,0.0,0.3943400412924178,1,0,0.0
63,"10006,63",1,0.001,1,0.0,2.2176743923276088,1,0,0.0
64,"10006,64",4,0.004,3,0.4820159454627248,6.463537293156032,7,3,3.0
65,"10006,65",1,0.001,1,0.0,2.741463936716655,1,0,0.0
66,"10006,66",1,0.001,1,0.0,1.3384826434520662,1,0,0.0
67,"10006,67",839,0.839,200,26.906522006613443,76.24068880075464,1677,1,1.0
68,"10006,68",1,0.001,1,0.0,1.276436207843146,1,0,0.0
69,"10006,69",2,0.002,2,3.421379127695564,5.59712417634425,3,1,1.0
70,"10006,70",835,0.835,203,25.263107104447744,61.875441040638464,1669,3,3.0
71,"10006,71",800,0.8,167,24.279412388756192,98.18495573674339,1599,5,5.0
72,"10006,72",1,0.001,1,0.0,0.027197766072663356,1,0,0.0
73,"10006,73",823,0.823,172,20.533089441863066,71.84317263078593,1645,1,1.0
74,"10006,74",1,0.001,1,0.0,6.440898712384562,1,0,0.0
75,"10006,75",2,0.002,2,3.844736843265166,10.379361807921825,3,1,1.0
76,"10006,76",832,0.832,194,31.725202164316116,91.5728631880984,1663,2,2.0
77,"10006,77",832,0.832,201,42.22982956523403,103.18107914353641,1663,3,3.0
78,"10006,78",842,0.842,176,34.865304220006195,81.97358040726263,1683,1,1.0
