t,media_I_N,ic_low,ic_high,edo_i
0.0,0.0010000000000000007,0.0010000000000000007,0.0010000000000000007,0.001
0.2,0.0010685000000000007,0.001050350251705585,0.0010866497482944163,0.0010617249575649264
0.4,0.0011300000000000004,0.0011049939099279755,0.0011550060900720252,0.0011272479268364134
0.6000000000000001,0.0012055000000000008,0.0011727108537857803,0.0012382891462142213,0.0011968010819650688
0.8,0.001268000000000001,0.001229570675272976,0.0013064293247270259,0.001270630596327071
1.0,0.0013410000000000008,0.0012966584571269125,0.0013853415428730892,0.0013489974617203998
1.2000000000000002,0.0014445000000000005,0.0013950833554976412,0.0014939166445023598,0.0014321783540299868
1.4000000000000001,0.0015400000000000004,0.001482874628476245,0.0015971253715237558,0.0015204665402909574
1.6,0.001654500000000001,0.0015895654037068844,0.0017194345962931177,0.0016141728401608115
1.8,0.001770500000000001,0.001698082142157411,0.0018429178578425911,0.001713626641194682
2.0,0.001862,0.0017836616627156983,0.0019403383372843016,0.0018191769636903832
2.2,0.001987500000000002,0.0019016247224343823,0.0020733752775656212,0.0019311935708956841
2.4000000000000004,0.002123500000000002,0.0020289698527713234,0.002218030147228681,0.002050068144141882
2.6,0.0022590000000000006,0.0021564465406809473,0.002361553459319054,0.002176215534063049
2.8000000000000003,0.0024155000000000027,0.0023054563551663217,0.0025255436448336837,0.002310075048717642
3.0,0.0025584999999999996,0.002439300025726609,0.0026776999742733902,0.0024521118104596285
3.2,0.002691500000000001,0.0025633607334142904,0.002819639266585712,0.002602818183648628
3.4000000000000004,0.0028525000000000004,0.002711806450977909,0.002993193549022092,0.002762715274762534
3.6,0.0030140000000000006,0.0028601563942563996,0.0031678436057436016,0.002932354497241622
3.8000000000000003,0.003178499999999998,0.0030137995044590823,0.003343200495540914,0.0031123191933931133
4.0,0.0033560000000000005,0.0031800630073769384,0.0035319369926230626,0.0033032263196040284
4.2,0.003528999999999999,0.0033435783772504633,0.003714421622749535,0.0035057282556025505
4.4,0.0037610000000000005,0.0035613727732678765,0.003960627226732125,0.003720514636258568
4.6000000000000005,0.003984500000000001,0.003768785793853818,0.004200214206146184,0.003948314265096712
4.800000000000001,0.004211999999999999,0.003986236237231771,0.004437763762768226,0.00418989710299599
5.0,0.004449999999999998,0.004207323335953203,0.004692676664046793,0.0044460763368262355
5.2,0.0047304999999999995,0.004471554883307225,0.004989445116692774,0.004717710516026935
5.4,0.005038,0.0047589461514944194,0.0053170538485055804,0.005005705743636856
5.6000000000000005,0.005361499999999999,0.0050599306828876785,0.00566306931711232,0.005311017910603896
5.800000000000001,0.005686999999999997,0.0053676325115840536,0.00600636748841594,0.005634655032859943
6.0,0.006045499999999997,0.005698966548244401,0.006392033451755593,0.005977679631449671
6.2,0.006429500000000002,0.006056941782210497,0.0068020582177895075,0.006341211129215771
6.4,0.006829999999999999,0.006432725704241751,0.007227274295758247,0.006726428298664798
6.6000000000000005,0.007273999999999992,0.006842286674418646,0.007705713325581338,0.007134571742562013
6.800000000000001,0.007701999999999999,0.007243079142583964,0.008160920857416033,0.007566946391211077
7.0,0.0081745,0.007684771914609899,0.008664228085390099,0.008024923992724751
7.2,0.008719499999999998,0.008195082029181462,0.009243917970818534,0.008509945572592766
7.4,0.009222999999999999,0.008659204664553815,0.009786795335446182,0.009023523853846846
7.6000000000000005,0.0097495,0.009148181199490969,0.01035081880050903,0.00956724567080852
7.800000000000001,0.01030900000000001,0.009674142282767376,0.010943857717232646,0.01014277423442029
8.0,0.010888499999999999,0.01021941741904137,0.011557582580958627,0.010751851310288501
8.200000000000001,0.011579999999999997,0.010868233206391466,0.012291766793608527,0.011396299251818877
8.4,0.012250999999999998,0.011501157314455602,0.013000842685544394,0.01207802284168484
8.6,0.012994000000000006,0.012197625419258782,0.013790374580741229,0.012799010903297967
8.8,0.01375050000000001,0.012905290459337842,0.014595709540662177,0.013561337643430295
9.0,0.014586500000000004,0.013695174855500349,0.01547782514449966,0.01436716368713838
9.200000000000001,0.015441499999999986,0.014499018676416486,0.01638398132358349,0.015218736725786981
9.4,0.016321000000000006,0.01532106356009377,0.017320936439906242,0.016118391688378184
9.600000000000001,0.017287499999999994,0.016219511093759374,0.018355488906240613,0.01706855040505917
9.8,0.018281499999999992,0.017165562011962218,0.019397437988037766,0.01807172072964419
10.0,0.01934550000000001,0.018171961004637735,0.020519038995362282,0.01913049500853022
10.200000000000001,0.020503500000000018,0.01926391484524643,0.021743085154753608,0.020247547711899287
10.4,0.0217095,0.020400326401657995,0.023018673598342004,0.021425632182223705
10.600000000000001,0.022953500000000005,0.021573852660102363,0.024333147339897648,0.02266757645666318
10.8,0.024332999999999997,0.022871308266543357,0.025794691733456637,0.023976278119942497
11.0,0.025695499999999993,0.024165589902825673,0.027225410097174312,0.025354698144298825
11.200000000000001,0.027256500000000013,0.025636124792431183,0.028876875207568844,0.02680585318744172
11.4,0.028832499999999994,0.027121825984433745,0.030543174015566242,0.028332806125737492
11.600000000000001,0.030464,0.02866201718281316,0.032265982817186845,0.029938655806805936
11.8,0.032264,0.03037081434885051,0.03415718565114949,0.03162652480205481
12.0,0.03401450000000002,0.03200827528792512,0.03602072471207492,0.03339954540117909
12.200000000000001,0.035832499999999996,0.03373198241617039,0.0379330175838296,0.035260843612437115
12.4,0.037849999999999995,0.035655671515374056,0.040044328484625934,0.03721352118405705
12.600000000000001,0.03995699999999999,0.03764703260605087,0.04226696739394911,0.03926063566225609
12.8,0.04206850000000003,0.039653705655786554,0.044483294344213505,0.04140517849271945
13.0,0.044315000000000014,0.04179075947052187,0.04683924052947816,0.04365005036467484
13.200000000000001,0.04665250000000001,0.044006745570278546,0.04929825442972148,0.045998034166750794
13.4,0.04911249999999998,0.04635100926905465,0.05187399073094531,0.04845176620327982
13.600000000000001,0.05163400000000001,0.04874950102384404,0.05451849897615599,0.05101370473393407
13.8,0.0543015,0.05129752618299972,0.05730547381700028,0.05368609622725916
14.0,0.05723350000000001,0.054085227649735605,0.06038177235026441,0.0564709394326959
14.200000000000001,0.0599565,0.05668139794199521,0.0632316020580048,0.05936994751358913
14.4,0.06295649999999996,0.05954160344195161,0.0663713965580483,0.06238450844736051
14.600000000000001,0.0660905,0.06254002798848862,0.06964097201151137,0.06551564350418157
14.8,0.06920799999999999,0.06550942699564094,0.07290657300435904,0.06876396469660512
15.0,0.0725355,0.06871812334522011,0.0763528766547799,0.07212963139870783
15.200000000000001,0.07583300000000001,0.07188636944367309,0.07977963055632693,0.0756123064900524
15.4,0.07937299999999999,0.07530544248755536,0.08344055751244461,0.07921111266493114
15.600000000000001,0.08293049999999998,0.07873800084335655,0.0871229991566434,0.08292458953587799
15.8,0.08647950000000003,0.0821610601233091,0.09079793987669096,0.08675065218038873
16.0,0.09020249999999998,0.08577113847188775,0.0946338615281122,0.09068655184045768
16.2,0.09414900000000002,0.08960370094599228,0.09869429905400777,0.09472883968209612
16.400000000000002,0.09810950000000003,0.09345892697693053,0.10276007302306953,0.09887333440492171
16.6,0.10214250000000001,0.09737545840216832,0.1069095415978317,0.10311509451798918
16.8,0.10624349999999992,0.10136138679242795,0.11112561320757189,0.10744839630928618
17.0,0.11049199999999999,0.10552684195533063,0.11545715804466936,0.11186671836989935
17.2,0.11473949999999995,0.10969842250478803,0.11978057749521187,0.11636273343252287
17.400000000000002,0.11898699999999994,0.11385879596122968,0.1241152040387702,0.12092830828374035
17.6,0.1232535,0.11803694628521336,0.12847005371478665,0.12555451265343098
17.8,0.1274830000000001,0.12221006938256876,0.13275593061743143,0.13023163778314178
18.0,0.13191399999999998,0.12659486311877313,0.13723313688122682,0.1349492246631961
18.2,0.13630699999999996,0.13092388251022016,0.14169011748977975,0.13969610269424618
18.400000000000002,0.14074399999999998,0.13533585494237527,0.1461521450576247,0.14446043880408294
18.6,0.14511100000000007,0.1396741552765757,0.15054784472342445,0.14922979681752258
18.8,0.14939899999999998,0.14395666293818002,0.15484133706181993,0.15399120675020977
19.0,0.1538035,0.14837361140151248,0.15923338859848754,0.1587312436970553
19.200000000000003,0.15815749999999995,0.15274129178724136,0.16357370821275855,0.1634361158267097
19.400000000000002,0.16251200000000002,0.15713585336556243,0.1678881466344376,0.16809175946397392
19.6,0.16667599999999994,0.16132824464652176,0.1720237553534781,0.17268394115053462
19.8,0.17078450000000003,0.16549415593058014,0.17607484406941992,0.17719836492274585
20.0,0.17486149999999992,0.1696265628600765,0.18009643713992335,0.1816207832290499
20.200000000000003,0.17888549999999984,0.17370848111198686,0.1840625188880128,0.18593710983480957
20.400000000000002,0.18270250000000007,0.1775982617508429,0.18780673824915725,0.1901335329926726
20.6,0.186414,0.18142959283428106,0.19139840716571893,0.19419662718418454
20.8,0.19012399999999993,0.1852366353731755,0.19501136462682436,0.19811346173571467
21.0,0.19385350000000007,0.1890632517738973,0.19864374822610284,0.20187170433937493
21.200000000000003,0.19735050000000015,0.19269457415205304,0.20200642584794726,0.2054597179155245
21.400000000000002,0.20053999999999994,0.19603150051878804,0.20504849948121184,0.20886664967124932
21.6,0.20354399999999992,0.19919431937498905,0.2078936806250108,0.2120825106575145
21.8,0.20640249999999985,0.2022133332480989,0.2105916667519008,0.21509824496831698
22.0,0.20924399999999996,0.20524375126068922,0.2132442487393107,0.21790578780763672
22.200000000000003,0.21197299999999994,0.20811948431224145,0.21582651568775843,0.22049811169427733
22.400000000000002,0.21435899999999986,0.21067145737421794,0.21804654262578177,0.2228692600816011
22.6,0.21659750000000003,0.2130813680089951,0.22011363199100495,0.2250143688597174
22.8,0.21856699999999993,0.21520515545526414,0.22192884454473571,0.2269296762548058
23.0,0.22045650000000003,0.21729134958751944,0.2236216504124806,0.22861252008518065
23.200000000000003,0.22211400000000012,0.21910457522526597,0.22512342477473427,0.23006132422466122
23.400000000000002,0.22350299999999992,0.22064332580257232,0.22636267419742753,0.23127557449427835
23.6,0.22465550000000006,0.2219552863196769,0.22735571368032323,0.23225578501516828
23.8,0.22567250000000003,0.22313660784556408,0.22820839215443597,0.23300345599650274
24.0,0.226281,0.22391707936483848,0.22864492063516154,0.2335210239333204
24.200000000000003,0.22666499999999995,0.2244358409445104,0.2288941590554895,0.23381180547586078
24.400000000000002,0.22692800000000005,0.2248626492992273,0.22899335070077279,0.23387993634426346
24.6,0.2272415,0.2252779106706596,0.22920508932934042,0.23373030597216699
24.8,0.22722650000000022,0.2253805256024304,0.22907247439757003,0.23336848943460634
25.0,0.22714000000000012,0.22539683101670166,0.22888316898329858,0.23280067753251893
25.200000000000003,0.226699,0.2250204534040591,0.22837754659594092,0.2320336060166904
25.400000000000002,0.2261734999999999,0.2245247727989627,0.22782222720103706,0.2310744849347847
25.6,0.22551649999999998,0.22385965677007894,0.22717334322992103,0.2299309290851036
25.8,0.2244349999999998,0.22275035981227795,0.22611964018772165,0.2286108903270912
26.0,0.22344450000000002,0.22171516473870342,0.2251738352612966,0.22712259149522207
26.200000000000003,0.22211500000000003,0.2203356340809459,0.22389436591905418,0.22547446391151313
26.400000000000002,0.22068349999999984,0.21883279075011333,0.22253420924988634,0.22367508786510104
26.6,0.21901600000000002,0.21708681396132085,0.2209451860386792,0.22173313675534362
26.8,0.21746349999999978,0.21542230601261111,0.21950469398738845,0.2196573251082357
27.0,0.21577699999999994,0.21362505481568383,0.21792894518431605,0.2174563605771266
