n,media,ic_low,ic_high
1,0.928,,
2,0.9165000000000001,0.7703786455340829,1.0626213544659173
3,0.9036666666666667,0.8414970154929156,0.9658363178404179
4,0.9002500000000001,0.8659647717207897,0.9345352282792105
5,0.8968,0.871728839061504,0.9218711609384961
6,0.8968333333333334,0.8778804365776491,0.9157862300890176
7,0.8977142857142858,0.8823151708820667,0.9131134005465049
8,0.8992500000000001,0.8858606087991429,0.9126393912008574
9,0.8951111111111112,0.8801544206900779,0.9100678015321445
10,0.898,0.8833395460088573,0.9126604539911427
11,0.8992727272727273,0.8859069635749486,0.9126384909705061
12,0.8980833333333335,0.8857497847035583,0.9104168819631087
13,0.8964615384615386,0.8846878425056988,0.9082352344173785
14,0.8972857142857144,0.8863319834118468,0.9082394451595819
15,0.8973333333333334,0.8872089996659828,0.9074576670006841
16,0.8968750000000001,0.8874128783161453,0.9063371216838548
17,0.897764705882353,0.8887257609720456,0.9068036507926605
18,0.8971111111111113,0.8885183036357558,0.9057039185864668
19,0.8970526315789475,0.888957978979749,0.905147284178146
20,0.8969000000000001,0.8892429398273565,0.9045570601726438
21,0.8967142857142859,0.8894452081741696,0.9039833632544022
22,0.8965454545454548,0.8896268435595365,0.903464065531373
23,0.8970869565217392,0.8903992815434747,0.9037746315000037
24,0.8962916666666668,0.8896963204521419,0.9028870128811918
25,0.89644,0.8901210989180642,0.9027589010819358
26,0.8963461538461538,0.8902848927148429,0.9024074149774647
27,0.8967407407407407,0.8908634081976425,0.9026180732838389
28,0.8955,0.889299888158426,0.901700111841574
29,0.8947931034482758,0.8886475630730287,0.9009386438235228
30,0.8951999999999999,0.8892139245626235,0.9011860754373763
31,0.894774193548387,0.8889277718818558,0.9006206152149183
32,0.8951875,0.889471873316606,0.900903126683394
33,0.895090909090909,0.8895547010021756,0.9006271171796425
34,0.8946470588235294,0.8892070514200018,0.9000870662270569
35,0.8939428571428572,0.8884758252546373,0.899409889031077
36,0.8937777777777778,0.888459793470752,0.8990957620848036
37,0.8936216216216216,0.8884447979374633,0.8987984453057799
38,0.894578947368421,0.8891841393096782,0.8999737554271638
39,0.8945641025641026,0.8893140209817924,0.8998141841464128
40,0.8936,0.8881278922834596,0.8990721077165403
41,0.8937317073170732,0.888392357368101,0.8990710572660454
42,0.8938809523809523,0.8886655197502848,0.8990963850116198
43,0.893139534883721,0.8878351162433794,0.8984439535240626
44,0.893090909090909,0.887911087336325,0.8982707308454931
45,0.8931111111111111,0.8880508667145858,0.8981713555076364
46,0.8926739130434782,0.8876502253757679,0.8976976007111885
47,0.8927659574468084,0.887849773969497,0.8976821409241198
48,0.8930624999999998,0.8882157339559996,0.8979092660439999
49,0.8934081632653058,0.8886133134716442,0.8982030130589674
50,0.8935399999999997,0.8888370331342533,0.898242966865746
51,0.8933137254901957,0.8886838657492356,0.8979435852311558
52,0.8929999999999997,0.8884187524943051,0.8975812475056942
