n,media,ic_low,ic_high
1,0.002,,
2,0.002,0.002,0.002
3,0.0016666666666666668,0.00023244909008351467,0.0031008842432498187
4,0.23325,-0.5037519052574506,0.9702519052574505
5,0.18680000000000002,-0.32767565258085957,0.7012756525808597
6,0.15583333333333335,-0.24115052105501297,0.5528171877216796
7,0.13471428571428573,-0.18881067891324632,0.4582392503418178
8,0.231,-0.12276289403377891,0.5847628940337789
9,0.20544444444444443,-0.1044653890952969,0.5153542779841858
10,0.2727,-0.038890295487406634,0.5842902954874066
11,0.32881818181818184,0.024351963860325454,0.6332843997760382
12,0.375,0.08223700625668379,0.6677629937433163
13,0.34623076923076923,0.07237078228303534,0.6200907561785032
14,0.3855714285714286,0.1201949176738531,0.6509479394690041
15,0.4200666666666667,0.1638807289959332,0.6762526043374002
16,0.4506875,0.20375615565369087,0.6976188443463092
17,0.4748823529411765,0.23855402465226605,0.7112106812300869
18,0.49983333333333335,0.27191859367283977,0.7277480729938269
19,0.47357894736842104,0.25192907716439106,0.695228817572451
20,0.44994999999999996,0.23470624427569367,0.6651937557243063
21,0.4285714285714285,0.2197081236384873,0.6374347335043697
22,0.4505454545454545,0.2468170443717043,0.6542738647192048
23,0.4694347826086956,0.271389879787499,0.6674796854298921
24,0.48641666666666666,0.29404517323129,0.6787881601020433
25,0.46704,0.2786545009718125,0.6554254990281876
26,0.484,0.3000407848214605,0.6679592151785394
27,0.4661851851851852,0.28575979211848535,0.6466105782518851
28,0.48160714285714284,0.3051965788542165,0.6580177068600692
29,0.46503448275862064,0.2917420557818362,0.6383269097354051
30,0.47919999999999996,0.3095511822702651,0.6488488177297348
31,0.49316129032258066,0.3268511099614507,0.6594714706837106
32,0.5054375,0.34268847251014467,0.6681865274898553
33,0.5172727272727273,0.3578982664020306,0.6766471881434241
34,0.5020882352941177,0.34459618303403194,0.6595802875542035
35,0.5132857142857142,0.3588446241088227,0.6677268044626058
36,0.4991111111111111,0.3464426760653262,0.651779546156896
37,0.5097567567567568,0.3598561239786182,0.6596573895348954
38,0.5198421052631579,0.3726509324582685,0.6670332780680472
39,0.5065384615384616,0.36078847837849626,0.652288444698427
40,0.5166000000000001,0.3732084418018529,0.6599915581981473
41,0.5040731707317073,0.3620594004295741,0.6460869410338406
42,0.5129761904761905,0.37332784248197015,0.6526245384704108
43,0.5219767441860466,0.3845079462993793,0.6594455420727139
44,0.5101363636363637,0.3738131014279761,0.6464596258447514
45,0.4988222222222223,0.3637122942439258,0.6339321502005187
46,0.5074130434782609,0.3742270887183693,0.6405989982381525
47,0.4966382978723405,0.36460158251510266,0.6286750132295783
48,0.4863125000000001,0.35547049081894927,0.6171545091810509
