rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10009,0",905,0.905,284,16.314413540497778,79.21364978884431,1809,8,8.0
1,"10009,1",1,0.001,1,0.0,0.11189933937458259,1,0,0.0
2,"10009,2",911,0.911,276,19.197360228796402,60.67654951144111,1821,3,3.0
3,"10009,3",916,0.916,268,22.970141623270553,66.6213434050379,1831,1,1.0
4,"10009,4",914,0.914,294,18.47937906879614,70.63155493641945,1827,5,5.0
5,"10009,5",3,0.003,2,1.504091810507575,3.0721875941228873,5,2,2.0
6,"10009,6",939,0.939,329,20.948075634773026,85.9616943523843,1877,8,8.0
7,"10009,7",928,0.928,287,21.79620093317678,55.345057556852296,1855,11,11.0
8,"10009,8",932,0.932,316,18.81444506842176,53.40963686169725,1863,7,7.0
9,"10009,9",1,0.001,1,0.0,1.6404718065548358,1,0,0.0
10,"10009,10",4,0.004,2,0.8145029633417805,5.069011292039962,7,1,1.0
11,"10009,11",911,0.911,285,17.22477630815124,72.67826248248001,1821,2,2.0
12,"10009,12",897,0.897,337,19.93228711690841,55.922576772710315,1793,11,11.0
13,"10009,13",910,0.91,287,16.46082694173043,66.26383152246746,1819,6,6.0
14,"10009,14",919,0.919,295,17.015873602912183,59.59702431366967,1837,4,4.0
15,"10009,15",915,0.915,302,18.11682367368491,53.247942024987175,1829,11,11.0
16,"10009,16",923,0.923,331,15.580456228885701,54.70631452985736,1845,4,4.0
17,"10009,17",932,0.932,286,20.641516009365063,66.47964218224585,1863,3,3.0
18,"10009,18",921,0.921,241,31.384169002700563,80.63416519817648,1841,3,3.0
19,"10009,19",3,0.003,2,1.30881249003776,9.266348436944629,5,2,2.0
20,"10009,20",1,0.001,1,0.0,2.652105226816344,1,0,0.0
21,"10009,21",915,0.915,283,20.10382431323407,72.11318070388094,1829,12,12.0
22,"10009,22",2,0.002,2,3.4104304955276725,5.522431791822651,3,1,1.0
23,"10009,23",920,0.92,263,20.937827669511204,55.28187510486667,1839,1,1.0
24,"10009,24",923,0.923,345,19.444392126262574,55.03375493446674,1845,5,5.0
25,"10009,25",1,0.001,1,0.0,1.1564734645697188,1,0,0.0
26,"10009,26",930,0.93,247,22.022678588642368,62.68726025633086,1859,2,2.0
27,"10009,27",898,0.898,268,22.042614503796788,53.24384074918232,1795,7,7.0
28,"10009,28",915,0.915,288,22.101392957496312,54.34872483823791,1829,2,2.0
29,"10009,29",1,0.001,1,0.0,0.6912475062419464,1,0,0.0
30,"10009,30",933,0.933,311,16.899880811009844,48.99772672257752,1865,6,6.0
31,"10009,31",906,0.906,271,20.075942448451322,60.86429514888213,1811,2,2.0
32,"10009,32",935,0.935,298,20.598568047817885,63.31523000816038,1869,3,3.0
33,"10009,33",1,0.001,1,0.0,3.199980235035217,1,0,0.0
34,"10009,34",933,0.933,283,17.732440522507215,66.45069283613911,1865,4,4.0
35,"10009,35",1,0.001,1,0.0,3.796717381189443,1,0,0.0
36,"10009,36",1,0.001,1,0.0,0.05214905760810744,1,0,0.0
37,"10009,37",1,0.001,1,0.0,0.43322929416086053,1,0,0.0
38,"10009,38",905,0.905,251,15.961692703442925,57.22343243739875,1809,5,5.0
39,"10009,39",933,0.933,274,16.844425519165767,58.90556100207515,1865,8,8.0
40,"10009,40",1,0.001,1,0.0,1.7451768076179792,1,0,0.0
41,"10009,41",1,0.001,1,0.0,1.9522135501777422,1,0,0.0
42,"10009,42",927,0.927,266,19.67584260800143,72.3231499655551,1853,4,4.0
43,"10009,43",1,0.001,1,0.0,1.884646172509445,1,0,0.0
44,"10009,44",921,0.921,283,17.101048211578195,52.86288486550978,1841,5,5.0
45,"10009,45",935,0.935,291,21.753187596501842,80.76069253971743,1869,3,3.0
46,"10009,46",1,0.001,1,0.0,0.5870393429083279,1,0,0.0
47,"10009,47",912,0.912,290,23.059576942339426,64.68359074165527,1823,4,4.0
48,"10009,48",914,0.914,267,19.10842238998881,72.00418749808198,1827,1,1.0
49,"10009,49",934,0.934,298,21.292625381012062,71.46504610168599,1867,4,4.0
50,"10009,50",1,0.001,1,0.0,0.4371186778248921,1,0,0.0
51,"10009,51",1,0.001,1,0.0,0.42626724170803576,1,0,0.0
52,"10009,52",915,0.915,297,21.640552662198278,79.75656285340577,1829,2,2.0
53,"10009,53",1,0.001,1,0.0,1.4026687952074781,1,0,0.0
54,"10009,54",921,0.921,262,28.935120065246373,67.00045140350495,1841,1,1.0
55,"10009,55",1,0.001,1,0.0,0.6673198644644476,1,0,0.0
56,"10009,56",922,0.922,289,16.507381575965393,77.34970830900716,1843,3,3.0
57,"10009,57",905,0.905,297,29.055885602194568,77.0266852518183,1809,3,3.0
58,"10009,58",1,0.001,1,0.0,0.15761359892990742,1,0,0.0
59,"10009,59",1,0.001,1,0.0,0.1031194628203371,1,0,0.0
60,"10009,60",3,0.003,2,2.277395546740687,7.129507829675274,5,1,1.0
61,"10009,61",1,0.001,1,0.0,2.75149630432582,1,0,0.0
62,"10009,62",913,0.913,300,20.233849782822627,82.08144518275328,1825,2,2.0
63,"10009,63",1,0.001,1,0.0,0.3069216567379168,1,0,0.0
64,"10009,64",904,0.904,256,24.242130389689947,64.8074511002344,1807,8,8.0
65,"10009,65",3,0.003,3,2.8535519317637847,3.1754874568774665,5,2,2.0
66,"10009,66",889,0.889,222,16.136856955581848,68.9071598042676,1777,2,2.0
67,"10009,67",1,0.001,1,0.0,0.35260798389537396,1,0,0.0
68,"10009,68",923,0.923,301,23.227933679241765,63.79812131474144,1845,2,2.0
69,"10009,69",1,0.001,1,0.0,1.8133296311887341,1,0,0.0
70,"10009,70",909,0.909,249,17.920351199152723,61.96624561852968,1817,1,1.0
71,"10009,71",1,0.001,1,0.0,0.9372638279407396,1,0,0.0
72,"10009,72",903,0.903,283,17.470837097918626,53.25043065440185,1805,4,4.0
73,"10009,73",908,0.908,248,22.845026046037038,62.14366539181893,1815,5,5.0
74,"10009,74",4,0.004,3,1.8442125933500035,5.095260397267184,7,3,3.0
75,"10009,75",923,0.923,263,23.971470376725758,70.6096846120103,1845,1,1.0
76,"10009,76",1,0.001,1,0.0,0.4940346982023151,1,0,0.0
77,"10009,77",923,0.923,306,20.36869270049768,53.07179409846744,1845,6,6.0
78,"10009,78",1,0.001,1,0.0,1.9347778605173116,1,0,0.0
79,"10009,79",934,0.934,272,24.383989306962025,58.70607232339174,1867,3,3.0
80,"10009,80",922,0.922,291,20.69165683338397,56.4118625528441,1843,4,4.0
81,"10009,81",921,0.921,251,24.27452269136121,75.44233049625473,1841,9,9.0
82,"10009,82",919,0.919,273,17.90245224381616,51.46755518518669,1837,4,4.0
83,"10009,83",1,0.001,1,0.0,1.6846667820009893,1,0,0.0
84,"10009,84",921,0.921,260,21.64808247165767,63.97026437110177,1841,3,3.0
85,"10009,85",942,0.942,287,21.198228011762062,56.10530573049054,1883,4,4.0
86,"10009,86",918,0.918,279,21.88349300552704,63.625136644155056,1835,5,5.0
87,"10009,87",900,0.9,268,22.9239719850803,62.351731423979736,1799,3,3.0
88,"10009,88",922,0.922,309,22.176593087377807,57.9121873354563,1843,5,5.0
89,"10009,89",920,0.92,282,19.751282531997436,69.17803864622097,1839,11,11.0
90,"10009,90",932,0.932,262,22.107002958825497,57.11973723872925,1863,5,5.0
91,"10009,91",908,0.908,265,20.024721887042677,57.57152988008791,1815,4,4.0
92,"10009,92",900,0.9,265,16.729144146483176,69.70483967494198,1799,1,1.0
93,"10009,93",940,0.94,293,25.48043907484242,71.69413759224486,1879,2,2.0
94,"10009,94",933,0.933,263,22.588682380276786,80.25698300194027,1865,12,12.0
95,"10009,95",921,0.921,274,20.829699650090653,62.157519274170646,1841,6,6.0
96,"10009,96",914,0.914,252,18.903328915663607,72.54804083145851,1827,1,1.0
