rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10012,0",958,0.958,369,17.31554520463213,60.470263735794745,1915,7,7.0
1,"10012,1",1,0.001,1,0.0,0.30956633216464596,1,0,0.0
2,"10012,2",968,0.968,377,16.31936706580949,58.91031760161986,1935,5,5.0
3,"10012,3",968,0.968,398,16.782918412796597,59.92954344192812,1935,5,5.0
4,"10012,4",1,0.001,1,0.0,0.7457842097538138,1,0,0.0
5,"10012,5",958,0.958,344,15.340439855124636,58.273107715967626,1915,2,2.0
6,"10012,6",967,0.967,380,14.34981944600824,54.02452796920769,1933,1,1.0
7,"10012,7",1,0.001,1,0.0,1.1152558554250251,1,0,0.0
8,"10012,8",971,0.971,393,14.812762839245233,56.82623549427301,1941,2,2.0
9,"10012,9",1,0.001,1,0.0,0.08177041837165296,1,0,0.0
10,"10012,10",962,0.962,370,19.438823086717818,58.45600143573318,1923,1,1.0
11,"10012,11",967,0.967,398,15.628815405142639,50.043048077359174,1933,5,5.0
12,"10012,12",957,0.957,349,12.071534673377041,52.385145496644284,1913,11,11.0
13,"10012,13",966,0.966,344,14.552497663715119,43.87023299525504,1931,10,10.0
14,"10012,14",954,0.954,312,19.275332514066797,60.38381116082215,1907,5,5.0
15,"10012,15",963,0.963,345,21.10290235145099,57.234197565229515,1925,8,8.0
16,"10012,16",984,0.984,421,12.82058589506214,47.06156424184258,1967,2,2.0
17,"10012,17",972,0.972,350,16.866386588375235,63.320653608669325,1943,6,6.0
18,"10012,18",973,0.973,344,15.125236511996697,54.81132646692715,1945,1,1.0
19,"10012,19",956,0.956,376,16.93117457457304,56.87511077756093,1911,8,8.0
20,"10012,20",968,0.968,374,20.003578955886592,49.43251387106519,1935,7,7.0
21,"10012,21",1,0.001,1,0.0,0.9298138835413812,1,0,0.0
22,"10012,22",1,0.001,1,0.0,0.6002173950328163,1,0,0.0
23,"10012,23",949,0.949,328,14.919044938840022,56.33516522878881,1897,13,13.0
24,"10012,24",972,0.972,399,12.195976687905494,44.108688915381386,1943,6,6.0
25,"10012,25",976,0.976,416,13.883131136305488,45.07834741153008,1951,9,9.0
26,"10012,26",1,0.001,1,0.0,4.719972122522393,1,0,0.0
27,"10012,27",1,0.001,1,0.0,0.3868191229056125,1,0,0.0
28,"10012,28",966,0.966,355,15.514697257730862,70.76063251242125,1931,12,12.0
29,"10012,29",975,0.975,373,16.966183035076664,48.253309011579326,1949,6,6.0
30,"10012,30",1,0.001,1,0.0,0.009178603934307646,1,0,0.0
31,"10012,31",1,0.001,1,0.0,0.07987986401451347,1,0,0.0
32,"10012,32",1,0.001,1,0.0,1.135244587412369,1,0,0.0
33,"10012,33",962,0.962,339,17.284052614946095,63.390444150069925,1923,1,1.0
34,"10012,34",970,0.97,380,16.10282106457804,53.07884457137065,1939,9,9.0
35,"10012,35",962,0.962,353,14.04254867445372,67.48030864483628,1923,10,10.0
36,"10012,36",954,0.954,365,17.079058633106346,46.250883648686646,1907,1,1.0
37,"10012,37",972,0.972,405,13.872966645398082,43.56561425043177,1943,1,1.0
38,"10012,38",967,0.967,381,15.979118998145173,49.630834460202536,1933,2,2.0
39,"10012,39",1,0.001,1,0.0,0.10576408586345973,1,0,0.0
40,"10012,40",968,0.968,367,19.18540761951633,57.886768936577255,1935,2,2.0
41,"10012,41",960,0.96,352,17.66810434123362,63.02906432626075,1919,1,1.0
42,"10012,42",977,0.977,371,18.75986358825804,52.208272875387415,1953,3,3.0
43,"10012,43",3,0.003,2,1.9617076615738143,3.7414914494887985,5,2,2.0
44,"10012,44",981,0.981,400,12.929632524474002,58.68568122912022,1961,4,4.0
45,"10012,45",968,0.968,315,15.451473109831584,56.02861591669946,1935,4,4.0
46,"10012,46",967,0.967,347,17.095694247322626,53.088234231953564,1933,6,6.0
47,"10012,47",959,0.959,325,21.53278630904186,56.81477616183671,1917,2,2.0
48,"10012,48",964,0.964,407,13.740192723544784,53.65498907682429,1927,6,6.0
49,"10012,49",949,0.949,354,13.777475590047164,44.2123587114384,1897,1,1.0
50,"10012,50",1,0.001,1,0.0,0.11394868340483383,1,0,0.0
51,"10012,51",971,0.971,371,14.429854897216165,43.045939294775835,1941,5,5.0
52,"10012,52",967,0.967,375,12.04350335478653,53.61553946896164,1933,3,3.0
53,"10012,53",970,0.97,358,17.324217852720253,57.091386848236894,1939,3,3.0
54,"10012,54",1,0.001,1,0.0,0.5379169923758141,1,0,0.0
55,"10012,55",945,0.945,356,12.18201250355017,46.3739344061594,1889,7,7.0
56,"10012,56",1,0.001,1,0.0,1.893182004145406,1,0,0.0
57,"10012,57",6,0.006,5,2.1117611811717123,3.5116708388735214,11,2,2.0
58,"10012,58",977,0.977,384,18.995922856007816,60.72473545153335,1953,1,1.0
