rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"103,0",19,0.019,9,16.442015344053036,27.85151056403573,37,2,2.0
1,"103,1",2,0.002,2,2.016651959909811,3.0081805419393732,3,1,1.0
2,"103,2",4,0.004,2,11.814540443637272,29.41426260034902,7,3,3.0
3,"103,3",10,0.01,6,3.2108170097284012,13.73916240021397,19,2,2.0
4,"103,4",1,0.001,1,0.0,0.6109624448283937,1,0,0.0
5,"103,5",5,0.005,4,3.8187939080785127,27.32934527814156,9,2,2.0
6,"103,6",2,0.002,2,0.5076724434707107,2.5423168244630925,3,1,1.0
7,"103,7",2,0.002,2,2.341017673532163,3.86800236501687,3,1,1.0
8,"103,8",1,0.001,1,0.0,2.530150964560292,1,0,0.0
9,"103,9",1,0.001,1,0.0,1.1450417163437243,1,0,0.0
10,"103,10",3,0.003,2,1.009890592120298,4.131581121509223,5,2,2.0
11,"103,11",2,0.002,2,2.3617499447771557,4.625693933126481,3,1,1.0
12,"103,12",3,0.003,3,6.351177483265369,13.384100372924994,5,2,2.0
13,"103,13",1,0.001,1,0.0,2.447163953766604,1,0,0.0
14,"103,14",24,0.024,7,36.0922353704807,42.31208482274843,47,3,3.0
15,"103,15",1,0.001,1,0.0,8.302662235504926,1,0,0.0
16,"103,16",1,0.001,1,0.0,0.06960751170677192,1,0,0.0
17,"103,17",5,0.005,3,6.549106743284608,24.117253196204256,9,2,2.0
18,"103,18",1,0.001,1,0.0,4.611636682447398,1,0,0.0
19,"103,19",1,0.001,1,0.0,1.3738791052797934,1,0,0.0
20,"103,20",1,0.001,1,0.0,3.29543678119806,1,0,0.0
21,"103,21",1,0.001,1,0.0,1.0778062350659658,1,0,0.0
22,"103,22",1,0.001,1,0.0,6.29655949100174,1,0,0.0
23,"103,23",1,0.001,1,0.0,0.011909944247456611,1,0,0.0
24,"103,24",1,0.001,1,0.0,3.3439693549860863,1,0,0.0
25,"103,25",1,0.001,1,0.0,1.1705875020718457,1,0,0.0
26,"103,26",2,0.002,2,4.535350676192624,13.33597123046133,3,1,1.0
27,"103,27",1,0.001,1,0.0,0.22904889449573404,1,0,0.0
28,"103,28",1,0.001,1,0.0,3.8160085995364006,1,0,0.0
29,"103,29",1,0.001,1,0.0,24.941288317133314,1,0,0.0
30,"103,30",1,0.001,1,0.0,3.7417610200235694,1,0,0.0
31,"103,31",7,0.007,4,5.697609348764313,17.794896571288188,13,3,3.0
32,"103,32",1,0.001,1,0.0,1.9197734939261308,1,0,0.0
33,"103,33",2,0.002,2,0.35908419034620664,4.6636605936219695,3,1,1.0
34,"103,34",5,0.005,4,7.810600463132136,12.250033552079787,9,3,3.0
35,"103,35",2,0.002,2,2.6756484099214166,9.221071026199231,3,1,1.0
36,"103,36",3,0.003,3,8.026992522506921,13.109504403834709,5,2,2.0
37,"103,37",2,0.002,2,0.08776642432124321,4.236466376790244,3,1,1.0
38,"103,38",1,0.001,1,0.0,1.174287052192431,1,0,0.0
39,"103,39",3,0.003,3,6.553265086176699,6.861289056084822,5,1,1.0
40,"103,40",1,0.001,1,0.0,2.099055865289933,1,0,0.0
41,"103,41",1,0.001,1,0.0,1.9538870540276272,1,0,0.0
42,"103,42",1,0.001,1,0.0,2.7713286530062953,1,0,0.0
43,"103,43",1,0.001,1,0.0,0.07458286489861357,1,0,0.0
44,"103,44",4,0.004,3,1.7846280163250916,14.791105201778597,7,1,1.0
45,"103,45",2,0.002,2,2.492513077860836,8.53487144990981,3,1,1.0
46,"103,46",6,0.006,5,8.932460002672737,20.454203591694498,11,3,3.0
47,"103,47",5,0.005,2,4.113365708996909,31.7428915950577,9,2,2.0
48,"103,48",5,0.005,5,15.422828679562897,21.524683223113044,9,1,1.0
49,"103,49",2,0.002,2,1.1141905725701982,4.666921002151242,3,1,1.0
50,"103,50",1,0.001,1,0.0,1.6639566664711496,1,0,0.0
51,"103,51",1,0.001,1,0.0,10.677465781745363,1,0,0.0
52,"103,52",1,0.001,1,0.0,0.8046571377484865,1,0,0.0
53,"103,53",6,0.006,5,12.269585968368817,16.77592054730078,11,2,2.0
54,"103,54",1,0.001,1,0.0,0.7884444009914736,1,0,0.0
55,"103,55",1,0.001,1,0.0,0.1894056678680495,1,0,0.0
56,"103,56",4,0.004,3,7.62083332064625,26.601725392410785,7,3,3.0
57,"103,57",2,0.002,2,0.647100365262503,1.8707300454428744,3,1,1.0
58,"103,58",7,0.007,4,10.112309830990366,23.49239142397221,13,1,1.0
59,"103,59",6,0.006,6,3.1824873226030532,12.384746016811048,11,3,3.0
60,"103,60",1,0.001,1,0.0,0.3539791422096258,1,0,0.0
61,"103,61",1,0.001,1,0.0,4.136752292633521,1,0,0.0
62,"103,62",1,0.001,1,0.0,0.44112198971389166,1,0,0.0
63,"103,63",2,0.002,2,2.0549122083163947,3.2208360912228575,3,1,1.0
64,"103,64",1,0.001,1,0.0,1.2471234081533118,1,0,0.0
65,"103,65",2,0.002,2,0.9183018971502084,3.157277597067805,3,1,1.0
66,"103,66",1,0.001,1,0.0,0.6672507710484376,1,0,0.0
67,"103,67",2,0.002,2,2.511036838428297,4.007505783964459,3,1,1.0
68,"103,68",1,0.001,1,0.0,0.3640186339485059,1,0,0.0
69,"103,69",1,0.001,1,0.0,1.726280557355721,1,0,0.0
70,"103,70",6,0.006,4,9.152736395815054,17.355409898556385,11,2,2.0
