rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10008,0",1,0.001,1,0.0,0.49845963345893973,1,0,0.0
1,"10008,1",926,0.926,242,14.723042411530514,65.87520102077384,1851,4,4.0
2,"10008,2",886,0.886,265,22.345626860915424,66.5010459728359,1771,2,2.0
3,"10008,3",903,0.903,262,21.160554722829755,65.55441524527801,1805,2,2.0
4,"10008,4",1,0.001,1,0.0,0.8028244793926513,1,0,0.0
5,"10008,5",858,0.858,248,27.18661814797211,73.86985404272437,1715,3,3.0
6,"10008,6",1,0.001,1,0.0,2.447566561613531,1,0,0.0
7,"10008,7",1,0.001,1,0.0,0.5393975058912562,1,0,0.0
8,"10008,8",869,0.869,220,32.06257097007363,77.24646204286455,1737,1,1.0
9,"10008,9",911,0.911,243,24.950377208422427,74.15907593241423,1821,10,10.0
10,"10008,10",880,0.88,269,21.32831935333874,62.48574147063349,1759,1,1.0
11,"10008,11",1,0.001,1,0.0,0.3838729468544901,1,0,0.0
12,"10008,12",1,0.001,1,0.0,0.20222874724595075,1,0,0.0
13,"10008,13",902,0.902,272,22.4023805658494,70.66202045093488,1803,3,3.0
14,"10008,14",1,0.001,1,0.0,0.8055025431324015,1,0,0.0
15,"10008,15",890,0.89,241,24.648812402494883,79.55762541838799,1779,2,2.0
16,"10008,16",1,0.001,1,0.0,1.0221171143525705,1,0,0.0
17,"10008,17",1,0.001,1,0.0,1.1734000462116356,1,0,0.0
18,"10008,18",881,0.881,220,37.28635585621431,90.86216885546771,1761,1,1.0
19,"10008,19",1,0.001,1,0.0,2.5395447685489874,1,0,0.0
20,"10008,20",901,0.901,246,24.323290898265444,66.51568592741516,1801,4,4.0
21,"10008,21",1,0.001,1,0.0,2.3964092514469595,1,0,0.0
22,"10008,22",895,0.895,244,24.584301086046544,62.205755956003834,1789,5,5.0
23,"10008,23",890,0.89,232,29.85941973440764,71.83298580156371,1779,1,1.0
24,"10008,24",887,0.887,260,22.57350764269219,56.53615066606453,1773,1,1.0
25,"10008,25",895,0.895,267,24.853516721263897,61.00428318360817,1789,1,1.0
26,"10008,26",2,0.002,2,0.06755178039855622,3.2904386751046983,3,1,1.0
27,"10008,27",2,0.002,2,1.1726496607930688,2.609931853180977,3,1,1.0
28,"10008,28",910,0.91,252,19.40465356665142,53.8557985519103,1819,4,4.0
29,"10008,29",1,0.001,1,0.0,1.2426373453012938,1,0,0.0
30,"10008,30",898,0.898,264,20.710182880783155,66.74949334493553,1795,2,2.0
31,"10008,31",887,0.887,281,17.96423286555067,65.98677056563366,1773,9,9.0
32,"10008,32",904,0.904,251,23.13045914796654,68.89448622253349,1807,2,2.0
33,"10008,33",1,0.001,1,0.0,2.1496103273346514,1,0,0.0
34,"10008,34",899,0.899,241,27.845764886406673,69.7667838535594,1797,1,1.0
35,"10008,35",858,0.858,212,21.126382788796818,72.88079312019728,1715,6,6.0
36,"10008,36",905,0.905,284,26.721083762043133,72.46501434427043,1809,3,3.0
37,"10008,37",872,0.872,223,26.722452273071607,70.37454827905182,1743,5,5.0
38,"10008,38",867,0.867,207,21.614142087941975,63.89176549249679,1733,3,3.0
39,"10008,39",903,0.903,247,22.386445948214394,70.81496553855584,1805,7,7.0
40,"10008,40",895,0.895,223,25.38473842285173,71.34570242362045,1789,3,3.0
41,"10008,41",857,0.857,220,32.195356409263844,85.63146809244648,1713,1,1.0
42,"10008,42",889,0.889,246,21.71848391782463,63.177100858890896,1777,9,9.0
43,"10008,43",901,0.901,272,19.261477888667297,57.68459191478936,1801,2,2.0
44,"10008,44",2,0.002,2,0.5685186058515584,0.9256277371941242,3,1,1.0
45,"10008,45",890,0.89,243,29.252496002262614,74.15877818266077,1779,1,1.0
46,"10008,46",877,0.877,272,29.4839953289242,62.131146319159924,1753,1,1.0
47,"10008,47",860,0.86,196,21.906657776042895,69.15504891083013,1719,7,7.0
48,"10008,48",861,0.861,223,23.56114993734399,71.6530688044291,1721,3,3.0
49,"10008,49",3,0.003,2,0.6360402913073265,5.1903868423213515,5,2,2.0
50,"10008,50",903,0.903,251,25.611454269000323,77.12601371110983,1805,4,4.0
51,"10008,51",1,0.001,1,0.0,0.1588774065633337,1,0,0.0
52,"10008,52",857,0.857,207,22.24388068215593,75.68595831074522,1713,5,5.0
53,"10008,53",893,0.893,251,18.720109106263898,60.12488098403817,1785,3,3.0
54,"10008,54",904,0.904,262,22.53552117752211,75.01386673001655,1807,4,4.0
55,"10008,55",1,0.001,1,0.0,0.29720547616403803,1,0,0.0
