rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10004,0",1,0.001,1,0.0,1.2842071539443056,1,0,0.0
1,"10004,1",650,0.65,93,51.26953517343906,119.985088660351,1299,6,6.0
2,"10004,2",1,0.001,1,0.0,0.6051173081861767,1,0,0.0
3,"10004,3",495,0.495,57,49.073962360784556,112.56880127718665,989,3,3.0
4,"10004,4",7,0.007,4,0.7158368457227949,12.119374286679703,13,2,2.0
5,"10004,5",1,0.001,1,0.0,6.7325095729027975,1,0,0.0
6,"10004,6",1,0.001,1,0.0,0.3861133216225023,1,0,0.0
7,"10004,7",602,0.602,82,34.796821940125376,127.39756750853651,1203,3,3.0
8,"10004,8",536,0.536,56,58.14902525759802,151.1921725112581,1071,2,2.0
9,"10004,9",483,0.483,52,41.31896324385634,130.35741059641967,965,4,4.0
10,"10004,10",4,0.004,3,1.450587110119813,8.922279641950835,7,1,1.0
11,"10004,11",20,0.02,8,11.953838123771572,25.670268892714798,39,3,3.0
12,"10004,12",1,0.001,1,0.0,0.8296975237878125,1,0,0.0
13,"10004,13",5,0.005,3,2.8408999417888445,7.141113096530845,9,3,3.0
14,"10004,14",2,0.002,2,4.360834707725868,7.147545336411699,3,1,1.0
15,"10004,15",1,0.001,1,0.0,0.050249817536930835,1,0,0.0
16,"10004,16",577,0.577,94,46.18913271228674,101.78341591599415,1153,3,3.0
17,"10004,17",594,0.594,82,29.61073643424153,116.45186130125148,1187,3,3.0
18,"10004,18",576,0.576,79,49.78233611389281,131.0564610561705,1151,2,2.0
19,"10004,19",652,0.652,106,55.202601165272874,113.7529604972309,1303,2,2.0
20,"10004,20",485,0.485,64,46.03877706919243,94.7178331133357,969,6,6.0
21,"10004,21",1,0.001,1,0.0,5.56891072405127,1,0,0.0
22,"10004,22",533,0.533,59,49.3144751151269,122.86376778041252,1065,9,9.0
23,"10004,23",27,0.027,9,8.876419010235525,31.509301000374695,53,2,2.0
24,"10004,24",8,0.008,4,3.0224387843850358,10.226995203440996,15,2,2.0
25,"10004,25",1,0.001,1,0.0,0.8431683120329379,1,0,0.0
26,"10004,26",1,0.001,1,0.0,1.9822398986044056,1,0,0.0
27,"10004,27",1,0.001,1,0.0,3.3628707502188453,1,0,0.0
28,"10004,28",3,0.003,2,1.729919903952883,5.277437147078835,5,1,1.0
29,"10004,29",542,0.542,48,78.7808609293156,139.28624793587932,1083,3,3.0
30,"10004,30",550,0.55,70,72.57873152611965,124.09033404230999,1099,2,2.0
31,"10004,31",1,0.001,1,0.0,0.09820852166139282,1,0,0.0
32,"10004,32",7,0.007,4,0.7572980003948546,12.571534512212233,13,4,4.0
33,"10004,33",5,0.005,3,4.06315505615086,8.68729837507392,9,3,3.0
34,"10004,34",1,0.001,1,0.0,0.1429969244871899,1,0,0.0
35,"10004,35",1,0.001,1,0.0,2.5751082409567743,1,0,0.0
36,"10004,36",660,0.66,98,34.15595542130121,108.73323146975318,1319,3,3.0
37,"10004,37",608,0.608,78,49.05277304548382,89.63499981446303,1215,3,3.0
38,"10004,38",564,0.564,50,70.74246352975821,124.88967781233386,1127,1,1.0
39,"10004,39",597,0.597,80,45.60099289260478,129.5571033072488,1193,2,2.0
40,"10004,40",2,0.002,2,3.1722913846409804,6.5454456756664126,3,1,1.0
41,"10004,41",630,0.63,94,52.084068377700774,92.61652578009947,1259,1,1.0
42,"10004,42",1,0.001,1,0.0,3.2480889481941353,1,0,0.0
43,"10004,43",610,0.61,96,56.47791311833367,104.03628059192289,1219,1,1.0
44,"10004,44",1,0.001,1,0.0,1.8558175632229812,1,0,0.0
45,"10004,45",1,0.001,1,0.0,3.932593097818169,1,0,0.0
46,"10004,46",1,0.001,1,0.0,1.5694127183105684,1,0,0.0
47,"10004,47",1,0.001,1,0.0,0.47659939529802126,1,0,0.0
48,"10004,48",1,0.001,1,0.0,0.17452674630604753,1,0,0.0
49,"10004,49",12,0.012,5,14.463368090413427,34.60184851510691,23,1,1.0
50,"10004,50",553,0.553,62,43.89204760583689,161.5331461888961,1105,1,1.0
51,"10004,51",1,0.001,1,0.0,3.7191378253967162,1,0,0.0
52,"10004,52",1,0.001,1,0.0,1.044685631550445,1,0,0.0
53,"10004,53",4,0.004,3,0.5280772012288846,5.448551645109534,7,2,2.0
54,"10004,54",594,0.594,90,43.57941523400914,115.22891299849084,1187,5,5.0
55,"10004,55",1,0.001,1,0.0,0.0739545010922303,1,0,0.0
56,"10004,56",604,0.604,67,70.69158568824939,113.82615602809958,1207,2,2.0
57,"10004,57",15,0.015,8,12.334925387896341,23.601650218752454,29,1,1.0
58,"10004,58",1,0.001,1,0.0,1.2598888786747817,1,0,0.0
59,"10004,59",5,0.005,3,13.347228816184344,16.8365290599409,9,1,1.0
60,"10004,60",1,0.001,1,0.0,0.9283604980769878,1,0,0.0
61,"10004,61",1,0.001,1,0.0,0.1458252571217354,1,0,0.0
62,"10004,62",667,0.667,108,58.91453092546715,113.04085018966937,1333,1,1.0
63,"10004,63",1,0.001,1,0.0,2.1376127094214974,1,0,0.0
