rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10007,0",1,0.001,1,0.0,2.365353063587721,1,0,0.0
1,"10007,1",3,0.003,3,2.2215278818503212,4.45497186163341,5,1,1.0
2,"10007,2",866,0.866,213,25.353512712221104,60.373085793272146,1731,1,1.0
3,"10007,3",1,0.001,1,0.0,0.25259186139096396,1,0,0.0
4,"10007,4",872,0.872,219,22.879558332716478,70.30603003009021,1743,1,1.0
5,"10007,5",1,0.001,1,0.0,1.2493913520290019,1,0,0.0
6,"10007,6",1,0.001,1,0.0,3.983824366692553,1,0,0.0
7,"10007,7",1,0.001,1,0.0,2.7511275904487777,1,0,0.0
8,"10007,8",873,0.873,190,37.34043195974617,108.3323802043022,1745,4,4.0
9,"10007,9",859,0.859,171,39.03339238855649,85.50780103955978,1717,3,3.0
10,"10007,10",839,0.839,207,23.54348092026281,75.61935488713765,1677,1,1.0
11,"10007,11",870,0.87,205,22.56145362662872,71.90171656727703,1739,5,5.0
12,"10007,12",1,0.001,1,0.0,0.10730810263763685,1,0,0.0
13,"10007,13",836,0.836,183,27.007834774327584,73.60456698857568,1671,2,2.0
14,"10007,14",1,0.001,1,0.0,1.7950565586519462,1,0,0.0
15,"10007,15",828,0.828,214,33.78029257048572,78.4696326853757,1655,1,1.0
16,"10007,16",864,0.864,206,32.74227696106195,79.15153177382777,1727,3,3.0
17,"10007,17",14,0.014,6,10.874920684298088,12.097452420374433,27,1,1.0
18,"10007,18",1,0.001,1,0.0,1.4856774962961625,1,0,0.0
19,"10007,19",851,0.851,231,30.61198057776825,74.45088125154223,1701,3,3.0
20,"10007,20",839,0.839,176,25.888249622131738,82.98078719860274,1677,8,8.0
21,"10007,21",860,0.86,205,27.077411736002674,73.86825697586953,1719,9,9.0
22,"10007,22",1,0.001,1,0.0,1.0499069922002804,1,0,0.0
23,"10007,23",863,0.863,219,17.48355270398589,57.657440696277135,1725,7,7.0
24,"10007,24",872,0.872,238,36.82902712627153,80.90645923670773,1743,1,1.0
25,"10007,25",809,0.809,204,26.546585991589925,78.905617675417,1617,1,1.0
