k,observado,p_simulada,p_exata,esperado,diferenca,ic95_low,ic95_high,exata_no_ic
0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,30847,0.30847,0.3076923076923077,30769.23076923077,0.0007776923076923126,0.30560735132969735,0.3113326486703027,True
2,7703,0.07703,0.07692307692307694,7692.307692307694,0.00010692307692306002,0.07537735409131127,0.07868264590868873,True
3,4353,0.04353,0.042535976420273944,4253.597642027395,0.0009940235797260555,0.04226530418532139,0.04479469581467861,True
4,3207,0.03207,0.0325300352540022,3253.00352540022,-0.00046003525400219875,0.03097798770882302,0.03316201229117698,True
5,3096,0.03096,0.03094673415454288,3094.673415454288,1.3265845457122866e-05,0.029886437335683476,0.03203356266431653,True
6,3473,0.03473,0.03522371249551299,3522.371249551299,-0.0004937124955129921,0.03359516461904221,0.035864835380957784,True
7,4604,0.04604,0.04714920867783496,4714.920867783496,-0.0011092086778349622,0.044741060836045655,0.04733893916395434,True
8,7300,0.073,0.07333013416895924,7333.013416895924,-0.0003301341689592452,0.07138765725231884,0.07461234274768115,True
9,12828,0.12828,0.12892193781308967,12892.193781308966,-0.0006419378130896602,0.12620735915670236,0.13035264084329765,True
10,22589,0.22589,0.22474687640039961,22474.68764003996,0.001143123599600393,0.22329817357782464,0.22848182642217538,True
