cenario,limiar,valor_limiar,n_surto_maior,P_surto_maior,wilson_low,wilson_high,tamanho_final_cond_media,tamanho_final_cond_ic_low,tamanho_final_cond_ic_high
C1,vale,425.0,608,0.608,0.5773836453554849,0.6377897748116351,0.8914835526315789,0.8900530221408924,0.8929140831222653
C1,10% de N,100.0,608,0.608,0.5773836453554849,0.6377897748116351,0.8914835526315789,0.8900530221408924,0.8929140831222653
C1,5% de N,50.0,608,0.608,0.5773836453554849,0.6377897748116351,0.8914835526315789,0.8900530221408924,0.8929140831222653
C2,vale,135.0,312,0.312,0.2840496860924683,0.3413891750981004,0.34592628205128206,0.34051154687999496,0.35134101722256916
C2,10% de N,100.0,312,0.312,0.2840496860924683,0.3413891750981004,0.34592628205128206,0.34051154687999496,0.35134101722256916
C2,5% de N,50.0,316,0.316,0.28793562210416745,0.34547262501851683,0.34241772151898736,0.33605862571441153,0.3487768173235632
C3,10% de N (nominal),100.0,0,0.0,0.0,7.900035671253742e-05,,,
