quantidade,simulado,teorico,erro_abs,erro_rel,ic_low,ic_high
"RMSE de I(t)/N (média das réplicas × EDO), 0–120 d",0.002225852246161644,,,,,
pico da trajetória MÉDIA I(t)/N,0.2272415,0.23387993634426346,-0.006638436344263449,-0.028383949679599244,,
tempo do pico da trajetória MÉDIA (dias),24.6,24.400000000000002,0.1999999999999993,0.00819672131147538,,
média dos picos por réplica I_max/N,0.237357,0.23387993634426346,0.003477063655736551,0.014866874474509986,0.23615339965255092,0.2385606003474491
média dos tempos até o pico por réplica (dias),24.554706509287225,24.400000000000002,0.15470650928722307,0.006340430708492748,24.305567695114874,24.803845323459576
tamanho final médio (fração de N),0.8936175,0.8927912555971135,0.0008262444028864779,0.0009254620245287596,0.8928022196831935,0.8944327803168064
