cenario,condicao,metrica,n,mean,sd,ci_low,ci_high,median,q1,q3,min,max,metrica_pt
C1,incondicional,final_size_frac,1000,0.5426369999999999,0.4348970023277162,0.5156496032340598,0.56962439676594,0.874,0.001,0.897,0.001,0.941,Tamanho final (fração de N)
C1,incondicional,peak_I,1000,149.953,120.63554088544853,142.4669994331437,157.4390005668563,225.5,1.0,251.0,1.0,327.0,Pico de infectados
C1,incondicional,t_peak,1000,15.04973637139386,12.230369740166493,14.290784621886743,15.808688120900978,20.36000954868684,0.0,24.632134474472984,0.0,51.38795607302829,Tempo até o pico (dias)
C1,incondicional,duration,1000,43.423179512207874,33.93692707700389,41.31723417080097,45.529124853614775,60.781811754504204,2.3205177314735104,70.96473335790053,0.012810105458104662,119.81948982328069,Duração da epidemia (dias)
C1,incondicional,n_events,1000,1084.274,869.7940046554326,1030.2992064681196,1138.2487935318802,1747.0,1.0,1793.0,1.0,1881.0,Número de eventos
C1,incondicional,index_offspring,1000,2.517,2.7515963152836,2.346250555642368,2.6877494443576317,2.0,0.0,4.0,0.0,14.0,Offspring do caso índice
C1,surto maior,final_size_frac,608,0.8914835526315789,0.017961144018186492,0.8900530221408924,0.8929140831222653,0.894,0.879,0.903,0.835,0.941,Tamanho final (fração de N)
C1,surto maior,peak_I,608,245.7203947368421,22.710427940506992,243.91160351549584,247.52918595818838,245.5,231.0,261.0,163.0,327.0,Pico de infectados
C1,surto maior,t_peak,608,24.41196824051487,4.589383706706763,24.04644289762715,24.777493583402592,23.574997091527443,21.101815790356245,27.058292978546074,14.927576612611647,51.38795607302829,Tempo até o pico (dias)
C1,surto maior,duration,608,69.92283426765349,9.862004493580853,69.13736658736158,70.70830194794539,68.7335127073442,62.80871076994847,75.50994381593043,50.791150596388704,119.81948982328069,Duração da epidemia (dias)
C1,surto maior,n_events,608,1781.967105263158,35.922288036372954,1779.1060442817852,1784.8281662445306,1787.0,1757.0,1805.0,1669.0,1881.0,Número de eventos
C1,surto maior,index_offspring,608,3.9177631578947367,2.6800526679445564,3.7043080987816803,4.131218217007794,3.0,2.0,6.0,1.0,14.0,Offspring do caso índice
C1,surto menor,final_size_frac,392,0.0015688775510204083,0.0013362354132401431,0.0014361887006063964,0.0017015664014344203,0.001,0.001,0.002,0.001,0.011,Tamanho final (fração de N)
C1,surto menor,peak_I,392,1.4158163265306123,0.8659839676128135,1.3298236818207398,1.5018089712404847,1.0,1.0,2.0,1.0,9.0,Pico de infectados
C1,surto menor,t_peak,392,0.5287236764306638,1.3364565781271989,0.39601286423183113,0.6614344886294964,0.0,0.0,0.17323732379615595,0.0,10.814090843996205,Tempo até o pico (dias)
C1,surto menor,duration,392,2.3216741772310217,2.4522600866262847,2.078163513925371,2.565184840536672,1.5257987197443443,0.5376303585610477,3.3864203053354753,0.012810105458104662,15.582229500209989,Duração da epidemia (dias)
C1,surto menor,n_events,392,2.1377551020408165,2.672470826480286,1.8723774012127925,2.4031328028688406,1.0,1.0,3.0,1.0,21.0,Número de eventos
C1,surto menor,index_offspring,392,0.34438775510204084,0.6407070364452433,0.2807652232669193,0.4080102869371624,0.0,0.0,1.0,0.0,4.0,Offspring do caso índice
C2,incondicional,final_size_frac,1000,0.11030999999999998,0.1611599529363,0.1003092697825156,0.12031073021748435,0.002,0.001,0.3065,0.001,0.439,Tamanho final (fração de N)
C2,incondicional,peak_I,1000,18.049,25.236074545349926,16.482983327259195,19.615016672740804,2.0,1.0,41.0,1.0,106.0,Pico de infectados
