cenario,n_piloto,limiar_piloto,base,n_base,media,desvio,cv,z,e,n_calculado,n_escolhido,tempo_piloto_s
C1,200,420.0,condicional a surto maior,116,0.8913103448275863,0.017680947148101922,0.019837026744620692,1.959963984540054,0.02,3.779108391326343,1000,0.06101986700014095
C2,200,140.0,condicional a surto maior,51,0.3459607843137255,0.05332277591585559,0.1541295381834411,1.959963984540054,0.02,228.1434186395013,1000,0.037130009000975406
C3,200,,incondicional (R_eff < 1),200,0.0041400000000000005,0.009315270868674938,2.2500654272161684,1.959963984540054,0.02,48621.29077003301,48622,0.03586759599966172
