rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10003,0",1,0.001,1,0.0,0.027647546410799567,1,0,0.0
1,"10003,1",1,0.001,1,0.0,0.3543204142399188,1,0,0.0
2,"10003,2",47,0.047,10,47.986980191042086,59.43908381845755,93,2,2.0
3,"10003,3",17,0.017,9,4.4213670098461915,11.895495307704008,33,4,4.0
4,"10003,4",2,0.002,2,4.214485986351758,4.515732894786126,3,1,1.0
5,"10003,5",7,0.007,4,8.664813462994813,11.87538673771301,13,3,3.0
6,"10003,6",1,0.001,1,0.0,4.1600058375684785,1,0,0.0
7,"10003,7",112,0.112,16,36.596172686480315,68.39582420827762,223,1,1.0
8,"10003,8",2,0.002,2,7.697643448826119,14.270510905251985,3,1,1.0
9,"10003,9",422,0.422,56,50.811086382596876,122.10331978886042,843,6,6.0
10,"10003,10",1,0.001,1,0.0,0.9618131645069823,1,0,0.0
11,"10003,11",5,0.005,4,2.5129754938045745,5.660804071213942,9,1,1.0
12,"10003,12",1,0.001,1,0.0,0.831688429289286,1,0,0.0
13,"10003,13",6,0.006,4,7.496361108856136,17.593106931903336,11,1,1.0
14,"10003,14",2,0.002,2,0.39948435980435976,0.9466918042901102,3,1,1.0
15,"10003,15",1,0.001,1,0.0,1.7693271402555315,1,0,0.0
16,"10003,16",6,0.006,4,7.398765324558557,10.61041416237913,11,2,2.0
17,"10003,17",2,0.002,2,0.3507632601965976,10.324664812272562,3,1,1.0
18,"10003,18",2,0.002,2,2.471488241726649,4.614948388419179,3,1,1.0
19,"10003,19",2,0.002,2,0.20132897963929722,5.148551393733603,3,1,1.0
20,"10003,20",1,0.001,1,0.0,1.515057911585741,1,0,0.0
21,"10003,21",291,0.291,42,53.372432653395485,107.13555738106865,581,3,3.0
22,"10003,22",1,0.001,1,0.0,3.694292165764726,1,0,0.0
23,"10003,23",2,0.002,2,1.2345751326981957,3.7373032231508456,3,1,1.0
24,"10003,24",1,0.001,1,0.0,4.629792601835115,1,0,0.0
25,"10003,25",4,0.004,3,8.25509004311428,12.862240708894605,7,3,3.0
26,"10003,26",4,0.004,3,2.892971595282071,16.609063772987543,7,2,2.0
27,"10003,27",74,0.074,21,31.141138197025413,70.96437283871941,147,4,4.0
28,"10003,28",1,0.001,1,0.0,0.9617135255771548,1,0,0.0
29,"10003,29",1,0.001,1,0.0,0.051850582505834304,1,0,0.0
30,"10003,30",1,0.001,1,0.0,1.753517516375918,1,0,0.0
31,"10003,31",1,0.001,1,0.0,1.7934981608923644,1,0,0.0
32,"10003,32",1,0.001,1,0.0,0.7938032852145953,1,0,0.0
33,"10003,33",1,0.001,1,0.0,3.7307054089001763,1,0,0.0
34,"10003,34",1,0.001,1,0.0,2.46000164565406,1,0,0.0
35,"10003,35",1,0.001,1,0.0,1.4464966964887644,1,0,0.0
36,"10003,36",457,0.457,64,34.97055412092446,77.914396484888,913,8,8.0
37,"10003,37",3,0.003,2,0.5683588103029356,11.403838787152427,5,1,1.0
38,"10003,38",39,0.039,12,10.619412442127228,43.73680483119265,77,4,4.0
39,"10003,39",2,0.002,2,2.720452803018128,3.8992748309958274,3,1,1.0
40,"10003,40",1,0.001,1,0.0,1.735098082762576,1,0,0.0
41,"10003,41",366,0.366,38,60.389817743530664,126.72096462299342,731,2,2.0
42,"10003,42",8,0.008,4,8.965173064025224,16.05933802640923,15,2,2.0
43,"10003,43",1,0.001,1,0.0,0.5953529261477783,1,0,0.0
44,"10003,44",581,0.581,87,37.08328440016014,96.17960291086612,1161,7,7.0
45,"10003,45",1,0.001,1,0.0,3.146623432675349,1,0,0.0
46,"10003,46",1,0.001,1,0.0,8.135959579807006,1,0,0.0
47,"10003,47",2,0.002,2,4.688611152281179,5.4248652771286965,3,1,1.0
48,"10003,48",2,0.002,2,0.6653030687955453,9.373431884142958,3,1,1.0
49,"10003,49",6,0.006,3,4.002011632252689,18.304217395562297,11,2,2.0
50,"10003,50",1,0.001,1,0.0,0.09093547965949392,1,0,0.0
51,"10003,51",1,0.001,1,0.0,3.292552431828775,1,0,0.0
52,"10003,52",4,0.004,3,2.2393683386286383,8.916795785272637,7,1,1.0
53,"10003,53",2,0.002,2,2.5558045513049352,9.827868759209629,3,1,1.0
54,"10003,54",32,0.032,9,11.816699785326934,36.20318285798926,63,3,3.0
55,"10003,55",1,0.001,1,0.0,0.013762650935793881,1,0,0.0
56,"10003,56",1,0.001,1,0.0,0.6218086927247598,1,0,0.0
57,"10003,57",1,0.001,1,0.0,1.9482476427539526,1,0,0.0
58,"10003,58",445,0.445,64,43.00547663599609,99.78761897681224,889,3,3.0
59,"10003,59",1,0.001,1,0.0,1.7393197680389105,1,0,0.0
60,"10003,60",1,0.001,1,0.0,0.8432373262792903,1,0,0.0
61,"10003,61",5,0.005,4,8.103325798656764,17.921209863805597,9,1,1.0
62,"10003,62",2,0.002,2,1.5452486179402785,3.4450992542014296,3,1,1.0
63,"10003,63",1,0.001,1,0.0,2.0415946104427545,1,0,0.0
64,"10003,64",1,0.001,1,0.0,2.1755102336786583,1,0,0.0
65,"10003,65",3,0.003,2,5.897433870368349,12.815301201838503,5,1,1.0
66,"10003,66",1,0.001,1,0.0,0.2614957681032692,1,0,0.0
67,"10003,67",1,0.001,1,0.0,0.5379136734623098,1,0,0.0
68,"10003,68",6,0.006,4,6.946967896673367,12.758176152226046,11,4,4.0
69,"10003,69",1,0.001,1,0.0,0.5783960209561337,1,0,0.0
70,"10003,70",22,0.022,12,12.625582576367478,25.811916614690798,43,2,2.0
71,"10003,71",1,0.001,1,0.0,6.808620645288835,1,0,0.0
72,"10003,72",403,0.403,67,49.741731828207534,95.51528491903858,805,4,4.0
73,"10003,73",6,0.006,3,4.8274260294442035,25.906773318285662,11,1,1.0
74,"10003,74",183,0.183,36,31.180805299686288,89.62502607504035,365,1,1.0
75,"10003,75",1,0.001,1,0.0,1.323968308921122,1,0,0.0
76,"10003,76",2,0.002,2,0.7877704567341184,4.009608299639696,3,1,1.0
77,"10003,77",444,0.444,47,70.30117731947234,130.60384726007348,887,4,4.0
78,"10003,78",1,0.001,1,0.0,0.776093594700877,1,0,0.0
79,"10003,79",1,0.001,1,0.0,2.351475613800322,1,0,0.0
80,"10003,80",1,0.001,1,0.0,0.10175403707540262,1,0,0.0
81,"10003,81",1,0.001,1,0.0,2.762942055289525,1,0,0.0
82,"10003,82",3,0.003,3,3.2483488498501574,6.671753270910844,5,2,2.0
83,"10003,83",328,0.328,20,56.89947524299483,178.52259886551437,655,3,3.0
84,"10003,84",257,0.257,29,66.64402169010971,108.95697822649238,513,2,2.0
85,"10003,85",1,0.001,1,0.0,0.05172378644802387,1,0,0.0
86,"10003,86",1,0.001,1,0.0,1.3092030054309152,1,0,0.0
87,"10003,87",1,0.001,1,0.0,1.1982052240243097,1,0,0.0
88,"10003,88",24,0.024,10,18.088920776422782,28.62070291761099,47,2,2.0
89,"10003,89",4,0.004,3,1.0173952516720388,5.279975630623555,7,1,1.0
90,"10003,90",1,0.001,1,0.0,1.1883809183448826,1,0,0.0
91,"10003,91",7,0.007,5,2.6059774103848117,9.394142152149643,13,2,2.0
92,"10003,92",2,0.002,2,0.6720196891665305,13.111452551488727,3,1,1.0
93,"10003,93",1,0.001,1,0.0,0.8489692166675805,1,0,0.0
94,"10003,94",1,0.001,1,0.0,0.9064063166457128,1,0,0.0
95,"10003,95",418,0.418,47,71.5778261136091,113.28746181239387,835,1,1.0
96,"10003,96",1,0.001,1,0.0,4.886334638770806,1,0,0.0
97,"10003,97",1,0.001,1,0.0,2.6518268404880065,1,0,0.0
98,"10003,98",7,0.007,3,1.4375345842902272,8.689705565836217,13,2,2.0
99,"10003,99",1,0.001,1,0.0,1.9291632098311278,1,0,0.0
100,"10003,100",16,0.016,6,8.119387844035007,23.437245013240183,31,1,1.0
101,"10003,101",8,0.008,4,2.025208772527046,12.876349897281566,15,4,4.0
102,"10003,102",441,0.441,34,63.775477174480265,158.38535287671607,881,5,5.0
103,"10003,103",1,0.001,1,0.0,1.113128242376557,1,0,0.0
104,"10003,104",1,0.001,1,0.0,0.47177443744333264,1,0,0.0
105,"10003,105",1,0.001,1,0.0,1.765784909878668,1,0,0.0
106,"10003,106",1,0.001,1,0.0,2.7575697643493227,1,0,0.0
107,"10003,107",1,0.001,1,0.0,0.22549032498670848,1,0,0.0
108,"10003,108",2,0.002,2,0.2755022356882632,2.524537142281558,3,1,1.0
109,"10003,109",2,0.002,2,5.651741073563848,6.683123792178188,3,1,1.0
110,"10003,110",6,0.006,3,2.24406666977964,12.087732816033133,11,1,1.0
111,"10003,111",456,0.456,31,20.138482919206968,159.01325231826175,911,1,1.0
112,"10003,112",128,0.128,18,18.589802847128425,86.58715459833691,255,2,2.0
113,"10003,113",52,0.052,15,14.21167002940266,52.01950750420367,103,1,1.0
114,"10003,114",1,0.001,1,0.0,2.16824999808331,1,0,0.0
115,"10003,115",1,0.001,1,0.0,3.2276535056148803,1,0,0.0
116,"10003,116",1,0.001,1,0.0,3.0181337705362936,1,0,0.0
117,"10003,117",1,0.001,1,0.0,1.4202142358756846,1,0,0.0
118,"10003,118",1,0.001,1,0.0,2.7948469063320793,1,0,0.0
119,"10003,119",12,0.012,4,8.276190015342198,28.534185400060473,23,2,2.0
120,"10003,120",2,0.002,2,3.1942685375004296,3.851483079642084,3,1,1.0
121,"10003,121",355,0.355,35,97.6064166817044,143.59405183092218,709,1,1.0
122,"10003,122",1,0.001,1,0.0,4.378665383928195,1,0,0.0
123,"10003,123",33,0.033,9,19.52688537103128,27.07825760000241,65,2,2.0
124,"10003,124",339,0.339,48,32.945754211628206,96.6584556662052,677,1,1.0
125,"10003,125",1,0.001,1,0.0,1.6092487411135008,1,0,0.0
126,"10003,126",1,0.001,1,0.0,1.6257344318049478,1,0,0.0
127,"10003,127",2,0.002,2,1.1425594500081637,4.201524966246126,3,1,1.0
128,"10003,128",1,0.001,1,0.0,0.3592120162615842,1,0,0.0
129,"10003,129",4,0.004,2,2.288829160190202,7.52280930268152,7,3,3.0
130,"10003,130",1,0.001,1,0.0,4.682385888645927,1,0,0.0
131,"10003,131",1,0.001,1,0.0,2.3134555207902907,1,0,0.0
132,"10003,132",3,0.003,2,5.468462878875332,10.464080213528012,5,2,2.0
133,"10003,133",471,0.471,53,54.43626987237059,108.22578075777862,941,4,4.0
134,"10003,134",135,0.135,16,12.842342920244304,154.74283673174602,269,1,1.0
135,"10003,135",1,0.001,1,0.0,0.4078489986678917,1,0,0.0
136,"10003,136",18,0.018,8,5.026405298795003,19.76230365615286,35,5,5.0
137,"10003,137",1,0.001,1,0.0,0.1316139371796964,1,0,0.0
138,"10003,138",3,0.003,2,2.11752342372676,6.905771393973873,5,1,1.0
139,"10003,139",1,0.001,1,0.0,0.4797861261395421,1,0,0.0
140,"10003,140",54,0.054,12,13.711687026721222,52.04934603237765,107,1,1.0
141,"10003,141",504,0.504,67,66.49736787370601,131.44479200935632,1007,2,2.0
142,"10003,142",2,0.002,2,1.7998845756002786,4.416626282923641,3,1,1.0
