rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10013,0",977,0.977,407,12.61161869368124,48.665623036499994,1953,1,1.0
1,"10013,1",973,0.973,431,12.85356442493442,62.465469345281605,1945,5,5.0
2,"10013,2",976,0.976,393,15.315483921013783,54.94740907308539,1951,2,2.0
3,"10013,3",981,0.981,395,17.696972779253908,78.33591501240554,1961,8,8.0
4,"10013,4",1,0.001,1,0.0,0.2195180072783444,1,0,0.0
5,"10013,5",970,0.97,399,11.462748055056155,51.42917196082069,1939,5,5.0
6,"10013,6",984,0.984,404,16.1733125157536,61.76019563986788,1967,2,2.0
7,"10013,7",985,0.985,419,14.134042255811348,49.07216450711508,1969,12,12.0
8,"10013,8",964,0.964,382,12.358675168836712,46.45497459238591,1927,10,10.0
9,"10013,9",971,0.971,386,14.370324869394693,71.16269987072856,1941,8,8.0
10,"10013,10",1,0.001,1,0.0,0.5875854012744318,1,0,0.0
11,"10013,11",977,0.977,376,13.656802729218395,50.793734287516614,1953,3,3.0
12,"10013,12",972,0.972,401,14.416373169544997,53.073191627953115,1943,2,2.0
13,"10013,13",977,0.977,369,18.39946731642228,66.4377165983444,1953,7,7.0
14,"10013,14",1,0.001,1,0.0,2.413030381048772,1,0,0.0
15,"10013,15",982,0.982,411,16.1588728304888,58.489540828863525,1963,3,3.0
16,"10013,16",967,0.967,377,12.38735893584693,56.45243537931459,1933,4,4.0
17,"10013,17",968,0.968,424,17.82896894206828,61.847003347297715,1935,1,1.0
18,"10013,18",980,0.98,374,14.73306993184201,45.31601523530653,1959,5,5.0
19,"10013,19",968,0.968,407,15.350019428834242,65.37628749013997,1935,6,6.0
20,"10013,20",968,0.968,395,16.845603821869656,48.43624438563595,1935,2,2.0
21,"10013,21",1,0.001,1,0.0,0.26578162303005737,1,0,0.0
22,"10013,22",974,0.974,409,15.498015303796503,61.12864104095247,1947,2,2.0
23,"10013,23",964,0.964,358,14.709469911815019,51.568139863710826,1927,2,2.0
24,"10013,24",978,0.978,439,18.15575595922098,50.908220279272655,1955,4,4.0
25,"10013,25",975,0.975,373,13.283522371974765,45.55509724532584,1949,1,1.0
26,"10013,26",1,0.001,1,0.0,0.8193067757995156,1,0,0.0
27,"10013,27",974,0.974,402,15.348629499525977,57.25050928095986,1947,1,1.0
28,"10013,28",979,0.979,424,13.828021576441275,43.90210861650145,1957,4,4.0
29,"10013,29",1,0.001,1,0.0,0.15601323567852296,1,0,0.0
30,"10013,30",960,0.96,344,21.432541443961384,63.190411399945845,1919,2,2.0
31,"10013,31",1,0.001,1,0.0,1.5316976188135354,1,0,0.0
32,"10013,32",1,0.001,1,0.0,0.9206207934653968,1,0,0.0
33,"10013,33",978,0.978,382,26.21291051916917,60.61351279067995,1955,2,2.0
34,"10013,34",974,0.974,407,16.41700387630629,50.25197954411855,1947,2,2.0
35,"10013,35",1,0.001,1,0.0,2.745138371335174,1,0,0.0
36,"10013,36",967,0.967,374,15.699496164821666,52.01607086046894,1933,4,4.0
37,"10013,37",981,0.981,409,15.424688301754516,58.06750130388146,1961,5,5.0
38,"10013,38",977,0.977,403,16.560390710631236,54.22215516721174,1953,6,6.0
39,"10013,39",976,0.976,335,14.9905042142244,60.72970393471478,1951,7,7.0
40,"10013,40",983,0.983,386,13.345930796387128,67.72879493234393,1965,5,5.0
41,"10013,41",979,0.979,407,12.50768827476261,45.229714000745076,1957,3,3.0
42,"10013,42",970,0.97,367,18.382403421680465,63.93289290521152,1939,2,2.0
43,"10013,43",963,0.963,395,13.034369078056454,44.237868356992706,1925,2,2.0
44,"10013,44",966,0.966,389,14.93629749989911,58.9905227812564,1931,4,4.0
45,"10013,45",966,0.966,359,17.635346638200115,50.1429212229571,1931,2,2.0
46,"10013,46",975,0.975,417,17.997454668645897,52.65704273918247,1949,3,3.0
47,"10013,47",1,0.001,1,0.0,0.18376547054303755,1,0,0.0
48,"10013,48",1,0.001,1,0.0,0.20337952174446775,1,0,0.0
49,"10013,49",1,0.001,1,0.0,3.8833163539201028,1,0,0.0
50,"10013,50",1,0.001,1,0.0,1.1834610185253065,1,0,0.0
51,"10013,51",961,0.961,379,10.630771954955332,63.63332946161207,1921,3,3.0
52,"10013,52",1,0.001,1,0.0,0.7404033849707724,1,0,0.0
53,"10013,53",970,0.97,372,13.866129260466687,54.51044725097382,1939,5,5.0
54,"10013,54",1,0.001,1,0.0,0.1518474384014363,1,0,0.0
55,"10013,55",968,0.968,408,13.125930704716323,63.882178593280855,1935,1,1.0
56,"10013,56",974,0.974,377,14.447516850157745,52.281423634288956,1947,1,1.0
57,"10013,57",987,0.987,403,13.632943338855151,58.74995077221901,1973,10,10.0
58,"10013,58",974,0.974,380,13.349694602732606,48.24267115839743,1947,2,2.0
59,"10013,59",984,0.984,432,13.706067599037528,44.78366379180166,1967,2,2.0
