rep,t,S,I,R
0,0.0,299,1,700
0,0.12369634790751884,299,0,701
0,0.24739269581503767,299,0,701
0,0.3710890437225565,299,0,701
0,0.49478539163007534,299,0,701
0,0.6184817395375942,299,0,701
0,0.742178087445113,299,0,701
0,0.8658744353526319,299,0,701
0,0.9895707832601507,299,0,701
0,1.1132671311676696,299,0,701
0,1.2369634790751884,299,0,701
0,1.3606598269827073,299,0,701
0,1.484356174890226,299,0,701
0,1.608052522797745,299,0,701
0,1.7317488707052637,299,0,701
0,1.8554452186127826,299,0,701
0,1.9791415665203014,299,0,701
0,2.10283791442782,299,0,701
0,2.2265342623353392,299,0,701
0,2.350230610242858,299,0,701
0,2.473926958150377,299,0,701
0,2.5976233060578955,299,0,701
0,2.7213196539654145,299,0,701
0,2.845016001872933,299,0,701
0,2.968712349780452,299,0,701
0,3.0924086976879708,299,0,701
0,3.21610504559549,299,0,701
0,3.3398013935030084,299,0,701
0,3.4634977414105275,299,0,701
0,3.587194089318046,299,0,701
0,3.710890437225565,299,0,701
0,3.8345867851330837,299,0,701
0,3.9582831330406028,299,0,701
0,4.081979480948122,299,0,701
0,4.20567582885564,299,0,701
0,4.329372176763159,299,0,701
0,4.4530685246706785,299,0,701
0,4.576764872578197,299,0,701
0,4.700461220485716,299,0,701
0,4.824157568393234,299,0,701
0,4.947853916300754,299,0,701
0,5.071550264208272,299,0,701
0,5.195246612115791,299,0,701
0,5.31894296002331,299,0,701
0,5.442639307930829,299,0,701
0,5.566335655838348,299,0,701
0,5.690032003745866,299,0,701
0,5.813728351653385,299,0,701
0,5.937424699560904,299,0,701
0,6.061121047468423,299,0,701
0,6.1848173953759416,299,0,701
0,6.308513743283461,299,0,701
0,6.43221009119098,299,0,701
0,6.555906439098498,299,0,701
0,6.679602787006017,299,0,701
0,6.803299134913536,299,0,701
0,6.926995482821055,299,0,701
0,7.0506918307285735,299,0,701
0,7.174388178636092,299,0,701
0,7.298084526543612,299,0,701
0,7.42178087445113,299,0,701
0,7.545477222358649,299,0,701
0,7.669173570266167,299,0,701
0,7.792869918173687,299,0,701
0,7.9165662660812055,299,0,701
0,8.040262613988725,299,0,701
0,8.163958961896244,299,0,701
0,8.287655309803762,299,0,701
0,8.41135165771128,299,0,701
0,8.5350480056188,299,0,701
0,8.658744353526318,299,0,701
0,8.782440701433837,299,0,701
0,8.906137049341357,299,0,701
0,9.029833397248876,299,0,701
