rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"4002,0",3,0.003,2,0.6935046564551355,9.073254648140436,5,2,2.0
1,"4002,1",905,0.905,258,19.58084200250213,68.99712060522516,1809,3,3.0
2,"4002,2",2,0.002,2,0.35912594559789135,1.9748583745359882,3,1,1.0
3,"4002,3",3,0.003,2,1.3447296005226357,4.524578779207587,5,1,1.0
4,"4002,4",1,0.001,1,0.0,1.6919862673307318,1,0,0.0
5,"4002,5",906,0.906,250,22.332284542353836,60.16495715928645,1811,4,4.0
6,"4002,6",921,0.921,268,22.077431491851872,67.32028897435004,1841,2,2.0
7,"4002,7",908,0.908,266,19.166613991707884,72.27332598617403,1815,4,4.0
8,"4002,8",892,0.892,224,26.189315086748476,73.02463132827289,1783,2,2.0
9,"4002,9",2,0.002,2,0.6979085006042096,2.383134859650493,3,1,1.0
10,"4002,10",1,0.001,1,0.0,3.190707778658101,1,0,0.0
11,"4002,11",1,0.001,1,0.0,0.3414044145123803,1,0,0.0
12,"4002,12",906,0.906,278,19.096271459018627,76.85116589764418,1811,1,1.0
13,"4002,13",897,0.897,233,26.901113108781846,67.20632291183628,1793,3,3.0
14,"4002,14",891,0.891,226,25.640565728952577,77.76351319466147,1781,5,5.0
15,"4002,15",1,0.001,1,0.0,3.5638265019827706,1,0,0.0
16,"4002,16",2,0.002,2,4.244819004434216,10.29698449845759,3,1,1.0
17,"4002,17",2,0.002,2,0.7876041245036328,2.2839000053807634,3,1,1.0
18,"4002,18",861,0.861,177,34.27449134611345,81.02777438259947,1721,2,2.0
19,"4002,19",1,0.001,1,0.0,0.6272846302419754,1,0,0.0
20,"4002,20",1,0.001,1,0.0,0.5083678275255945,1,0,0.0
21,"4002,21",3,0.003,2,0.09861645905881272,1.7425956199359405,5,2,2.0
22,"4002,22",879,0.879,273,24.146671674270863,77.43730157265952,1757,1,1.0
23,"4002,23",890,0.89,237,25.222325523874538,66.32836856442947,1779,1,1.0
24,"4002,24",1,0.001,1,0.0,0.38027474914126835,1,0,0.0
