rep,t,S,I,R
0,0.0,999,1,0
0,0.2198444447623008,999,1,0
0,0.4396888895246016,999,1,0
0,0.6595333342869024,999,1,0
0,0.8793777790492032,999,1,0
0,1.0992222238115041,999,1,0
0,1.3190666685738048,998,2,0
0,1.5389111133361055,998,2,0
0,1.7587555580984064,998,2,0
0,1.9786000028607074,998,2,0
0,2.1984444476230083,998,2,0
0,2.4182888923853088,998,2,0
0,2.6381333371476097,998,2,0
0,2.8579777819099106,998,2,0
0,3.077822226672211,998,2,0
0,3.297666671434512,998,1,1
0,3.517511116196813,998,1,1
0,3.737355560959114,998,1,1
0,3.9572000057214147,998,1,1
0,4.177044450483716,998,0,2
0,4.396888895246017,998,0,2
0,4.616733340008317,998,0,2
0,4.8365777847706175,998,0,2
0,5.056422229532918,998,0,2
0,5.276266674295219,998,0,2
0,5.49611111905752,998,0,2
0,5.715955563819821,998,0,2
0,5.935800008582122,998,0,2
0,6.155644453344422,998,0,2
0,6.375488898106723,998,0,2
0,6.595333342869024,998,0,2
0,6.815177787631325,998,0,2
0,7.035022232393626,998,0,2
0,7.254866677155927,998,0,2
0,7.474711121918228,998,0,2
0,7.6945555666805285,998,0,2
0,7.9144000114428295,998,0,2
0,8.13424445620513,998,0,2
0,8.354088900967431,998,0,2
0,8.573933345729731,998,0,2
0,8.793777790492033,998,0,2
0,9.013622235254333,998,0,2
0,9.233466680016633,998,0,2
0,9.453311124778935,998,0,2
0,9.673155569541235,998,0,2
0,9.893000014303537,998,0,2
0,10.112844459065837,998,0,2
0,10.332688903828139,998,0,2
0,10.552533348590439,998,0,2
0,10.772377793352739,998,0,2
0,10.99222223811504,998,0,2
0,11.21206668287734,998,0,2
0,11.431911127639642,998,0,2
0,11.651755572401942,998,0,2
0,11.871600017164244,998,0,2
0,12.091444461926544,998,0,2
0,12.311288906688844,998,0,2
0,12.531133351451146,998,0,2
0,12.750977796213446,998,0,2
0,12.970822240975748,998,0,2
0,13.190666685738048,998,0,2
0,13.41051113050035,998,0,2
0,13.63035557526265,998,0,2
0,13.850200020024952,998,0,2
0,14.070044464787252,998,0,2
0,14.289888909549552,998,0,2
0,14.509733354311853,998,0,2
0,14.729577799074153,998,0,2
0,14.949422243836455,998,0,2
0,15.169266688598755,998,0,2
0,15.389111133361057,998,0,2
0,15.608955578123357,998,0,2
0,15.828800022885659,998,0,2
0,16.048644467647957,998,0,2
0,16.26848891241026,998,0,2
0,16.48833335717256,998,0,2
0,16.708177801934863,998,0,2
0,16.92802224669716,998,0,2
0,17.147866691459463,998,0,2
0,17.367711136221764,998,0,2
0,17.587555580984066,998,0,2
0,17.807400025746364,998,0,2
0,18.027244470508666,998,0,2
0,18.247088915270968,998,0,2
0,18.466933360033266,998,0,2
0,18.686777804795568,998,0,2
0,18.90662224955787,998,0,2
0,19.12646669432017,998,0,2
0,19.34631113908247,998,0,2
0,19.566155583844772,998,0,2
0,19.786000028607074,998,0,2
0,20.005844473369372,998,0,2
0,20.225688918131674,998,0,2
0,20.445533362893975,998,0,2
0,20.665377807656277,998,0,2
0,20.885222252418576,998,0,2
0,21.105066697180877,998,0,2
0,21.32491114194318,998,0,2
0,21.544755586705477,998,0,2
0,21.76460003146778,998,0,2
0,21.98444447623008,998,0,2
0,22.204288920992383,998,0,2
0,22.42413336575468,998,0,2
0,22.643977810516983,998,0,2
0,22.863822255279285,998,0,2
0,23.083666700041583,998,0,2
0,23.303511144803885,998,0,2
0,23.523355589566187,998,0,2
0,23.74320003432849,998,0,2
0,23.963044479090787,998,0,2
0,24.18288892385309,998,0,2
0,24.40273336861539,998,0,2
0,24.62257781337769,998,0,2
0,24.84242225813999,998,0,2
0,25.062266702902292,998,0,2
0,25.282111147664594,998,0,2
0,25.501955592426892,998,0,2
0,25.721800037189194,998,0,2
0,25.941644481951496,998,0,2
0,26.161488926713798,998,0,2
0,26.381333371476096,998,0,2
0,26.601177816238398,998,0,2
0,26.8210222610007,998,0,2
0,27.040866705762998,998,0,2
0,27.2607111505253,998,0,2
0,27.4805555952876,998,0,2
0,27.700400040049903,998,0,2
0,27.9202444848122,998,0,2
0,28.140088929574503,998,0,2
0,28.359933374336805,998,0,2
0,28.579777819099103,998,0,2
0,28.799622263861405,998,0,2
0,29.019466708623707,998,0,2
0,29.23931115338601,998,0,2
0,29.459155598148307,998,0,2
0,29.67900004291061,998,0,2
0,29.89884448767291,998,0,2
0,30.11868893243521,998,0,2
0,30.33853337719751,998,0,2
0,30.558377821959812,998,0,2
0,30.778222266722114,998,0,2
0,30.998066711484412,998,0,2
0,31.217911156246714,998,0,2
0,31.437755601009016,998,0,2
0,31.657600045771318,998,0,2
0,31.877444490533616,998,0,2
0,32.097288935295914,998,0,2
0,32.317133380058216,998,0,2
0,32.53697782482052,998,0,2
0,32.75682226958282,998,0,2
0,32.97666671434512,998,0,2
